time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
1100,0.0361741,0.0455658,0.128713,10800,16000
1110,0.0310973,0.0402232,0.107473,9700,16200
1120,0.024853,0.0310116,0.0983985,14000,17500
1130,0.0198432,0.0255574,0.0783083,12400,17200
1140,0.0139615,0.0172648,0.0422676,10500,15900
1150,0.0152939,0.0185444,0.0329403,8000,15900
1160,0.0123438,0.0151242,0.027458,8000,16400
1170,0.00793318,0.0099065,0.021009,8600,16200
1180,0.0066588,0.00832652,0.0156271,7200,16100
1190,0.00675645,0.00856237,0.0122724,6400,15000
1200,0.00760997,0.00895319,0.00982047,3500,15800
1210,0.00816637,0.00955677,0.013232,4300,15200
1220,0.0101074,0.0123449,0.00801257,2800,13700
1230,0.00983582,0.0114846,0.0142902,2300,14000
1240,0.0235841,0.0349933,0.0916414,8400,16200
1250,0.0128491,0.017178,0.0261603,5700,16000
1260,0.00796509,0.00950145,0.0182073,6100,17800
1270,0.00608396,0.00761373,0.0124464,5900,17600
1280,0.00834794,0.00948766,0.0102374,2300,16700
1290,0.00639732,0.00768411,0.00837643,2700,17300
1300,0.0040784,0.0049163,0.00528143,3800,14000
1310,0.00522378,0.00633912,0.00617361,3900,14400
1320,0.00694871,0.00804209,0.00575941,2100,14900
1330,0.00833754,0.0102602,0.00452769,1700,13700
1340,0.00613625,0.00716079,0.00503444,1500,16000
1350,0.0048215,0.00600998,0.00460304,4600,14700
1360,0.00995026,0.0114189,0.00578981,1400,17100
1370,0.00886993,0.0100712,0.00495751,1100,15000
1380,0.00914223,0.0106549,0.00458402,1100,14400
1390,0.00416079,0.00500812,0.00492535,2900,16800
1400,0.00555725,0.006998,0.00478471,3100,15500
1410,0.00606509,0.00694691,0.00375497,1700,14000
1420,0.00528925,0.0062887,0.0049571,3100,16200
1430,0.00587616,0.00717057,0.00449077,2300,14600
1440,0.00549524,0.00631607,0.0038708,1600,14600
1450,0.00549524,0.00631607,0.0038708,1600,14600
1460,0.00680584,0.00830219,0.00381869,1800,15000
1470,0.00629023,0.00727431,0.004434,1300,14500
1480,0.00704276,0.00813465,0.0048327,1500,16000
1490,0.00599032,0.00772937,0.00496519,2800,15200
1500,0.00732685,0.0088109,0.00412322,2000,14400
1510,0.00838831,0.00976474,0.00424887,1600,15700
1520,0.0063281,0.0074468,0.00479364,2400,16500
1530,0.00988728,0.0117928,0.00504145,1500,16500
1540,0.00651828,0.0080342,0.00392657,1100,14400
1550,0.00496424,0.00592029,0.00381424,2800,14000
1560,0.00659832,0.00779448,0.00495458,2100,14800
1570,0.00793096,0.00936426,0.00341,1500,13600
1580,0.0120465,0.0176,0.0438557,6100,16200
1590,0.0304618,0.0436099,0.147891,13700,17400
1600,0.0132939,0.0163766,0.0462772,10100,18100
