sub,block,trial,ISI,ISIbin,abstime,rt,type
116561,1,1,4747.04,4000,11159,415,2
116561,1,2,8257.21,8000,18726,392,2
116561,1,3,1165.42,1000,29780,497,2
116561,1,4,3288.25,3000,33848,376,2
116561,1,5,8669.11,8000,39926,358,2
