subnum,trial,starttime,number,isodd,resp,corr,rt
33,1,21755,983,1,<rshift>,0,19651
33,2,41912,217,1,<lshift>,1,1302
33,3,43720,610,0,<rshift>,1,638
33,4,44864,169,1,<lshift>,1,1215
33,5,46584,386,0,<rshift>,1,534
33,6,47624,605,1,<rshift>,0,366
33,7,48496,607,1,<lshift>,1,535
33,8,49536,746,0,<lshift>,0,454
33,9,50496,903,1,<lshift>,1,567
33,10,51568,910,0,<rshift>,1,454
33,11,52528,741,1,<rshift>,0,295
33,12,53328,376,0,<lshift>,0,358
33,13,54192,828,0,<lshift>,0,438
33,14,55136,735,1,<lshift>,1,469
33,15,56112,281,1,<lshift>,1,463
33,16,57080,973,1,<lshift>,1,391
33,17,57976,876,0,<lshift>,0,342
33,18,58824,392,0,<rshift>,1,350
33,19,59680,720,0,<rshift>,1,375
33,20,60560,818,0,<rshift>,1,423
