subnum,type,trial,width,height,length,sumdist,anglesum,sumoptions,entropy,numclicks,lastclick,rt,time,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049
oetuh,numletter,1,7,7,27,28.8995,31,156,7.12615,29,27,20044,21308,1,2,3,4,5,6,7,14,21,13,12,20,19,18,17,11,10,9,8,16,24,31,23,15,22,29,30,36,43,44,37,38,45,39,46,47,40,48,41,33,32,25,26,27,34,28,35,42,49
oetuh,num,2,7,7,35,38.5563,59,156,11.2117,36,35,20023,22681,1,2,3,4,10,9,8,15,16,22,23,29,36,43,44,37,30,24,31,32,38,45,46,39,47,40,48,41,33,25,18,17,11,19,26,34,27,20,12,5,6,7,13,14,21,28,35,42,49
