subnum,trial,type,pos,size,ShowPreview,mousex,mousey,clicks,time
111,1,2,100,40,0,159,595,1,2003
111,2,2,350,10,0,401,595,1,1913
111,3,2,500,10,0,551,598,1,1603
111,4,111,1,2,50,20,0,100,588,1,1358
111,2,2,200,10,0,251,603,1,5395
111,3,2,50,20,0,107,601,1,2608
111,4,
