subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
tuhaoeu,1,test,P,104,3,860,570,P,1,response,1,1,180366,516
tuhaoeu,1,test,P,105,3,860,570,R,0,NONE,0,1,181866,1450
tuhaoeu,1,test,P,106,4,1060,570,P,1,response,1,1,183366,807
tuhaoeu,1,test,P,107,3,860,570,P,1,response,1,1,184866,552
tuhaoeu,1,test,P,108,3,860,570,P,1,response,1,1,186366,684
tuhaoeu,1,test,P,109,4,1060,570,P,1,response,1,1,187866,485
tuhaoeu,1,test,P,110,2,1060,370,P,1,response,1,1,189366,533
tuhaoeu,1,test,P,111,4,1060,570,P,1,response,1,1,190866,483
tuhaoeu,1,test,P,112,2,1060,370,P,1,response,1,1,192366,508
tuhaoeu,1,test,P,113,4,1060,570,P,1,response,1,1,193866,499
tuhaoeu,1,test,P,114,4,1060,570,P,1,response,1,1,195366,715
tuhaoeu,1,test,P,115,1,860,370,P,1,response,1,1,196866,594
tuhaoeu,1,test,P,116,3,860,570,P,1,response,1,1,198366,606
tuhaoeu,1,test,P,117,3,860,570,P,1,response,1,1,199866,731
tuhaoeu,1,test,P,118,4,1060,570,P,1,response,1,1,201366,961
tuhaoeu,1,test,P,119,1,860,370,P,1,response,1,1,202866,530
tuhaoeu,1,test,P,120,2,1060,370,P,1,response,1,1,204366,465
tuhaoeu,1,test,P,121,2,1060,370,R,0,NONE,0,1,205866,1450
tuhaoeu,1,test,P,122,4,1060,570,P,1,response,1,1,207366,468
tuhaoeu,1,test,P,123,3,860,570,P,1,response,1,1,208866,466
tuhaoeu,1,test,P,124,4,1060,570,P,1,response,1,1,210366,535
tuhaoeu,1,test,P,125,1,860,370,R,0,NONE,0,1,211866,1450
tuhaoeu,1,test,P,126,1,860,370,P,1,response,1,1,213366,623
tuhaoeu,1,test,P,127,2,1060,370,P,1,response,1,1,214866,655
tuhaoeu,1,test,P,128,4,1060,570,P,1,response,1,1,216367,476
tuhaoeu,1,test,P,129,2,1060,370,P,1,response,1,1,217866,630
tuhaoeu,1,test,P,130,4,1060,570,P,1,response,1,1,219366,494
tuhaoeu,1,test,P,131,1,860,370,R,0,response,1,0,220866,513
tuhaoeu,1,test,P,132,3,860,570,P,1,response,1,1,222366,659
tuhaoeu,1,test,P,133,3,860,570,P,1,response,1,1,223866,516
tuhaoeu,1,test,P,134,4,1060,570,P,1,response,1,1,225366,486
tuhaoeu,1,test,P,135,1,860,370,P,1,response,1,1,226866,449
tuhaoeu,1,test,P,136,1,860,370,R,0,NONE,0,1,228366,1450
