time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
1220,0.00685813,0.00834786,0.00423456,2100,16000
1230,0.00604373,0.00744322,0.00332068,2100,14300
1240,0.00340618,0.00424258,0.00442631,4500,16100
1250,0.00604179,0.00737083,0.00453849,2900,15100
1260,0.00799214,0.0101314,0.00359493,1700,14000
1270,0.00518771,0.00604006,0.00460267,1900,14600
1280,0.00780792,0.00929103,0.00421262,1400,14500
1290,0.0132632,0.0156378,0.00399646,700,14600
1300,0.0121128,0.0155812,0.00374419,1100,14700
1310,0.010345,0.0118891,0.00422583,500,15800
1320,0.00703194,0.0080945,0.00526943,1000,18000
1330,0.0114051,0.0135391,0.00424767,100,15700
1340,0.00741841,0.00896939,0.00433106,2600,14300
1350,0.00551591,0.00640844,0.00458942,1600,15500
1360,0.00633073,0.00753938,0.0036808,800,14200
1370,0.0116523,0.0132649,0.00463217,100,13300
1380,0.00820202,0.0103328,0.00499051,3300,15200
1390,0.0060214,0.00731777,0.00801128,3400,15000
1400,0.00538413,0.00613417,0.00456938,1400,14800
1410,0.00582442,0.00703579,0.00471402,3100,13900
1420,0.00584675,0.00715001,0.00513831,3200,14600
1430,0.00454975,0.00548327,0.00433337,1900,15800
1440,0.00807343,0.00939631,0.00482073,1500,16200
1450,0.00525887,0.00668649,0.00428657,3000,15100
1460,0.00576796,0.0069932,0.00473958,1700,15800
1470,0.00464519,0.00596152,0.00405216,4700,14200
1480,0.00526498,0.00714646,0.00405405,4000,14200
1490,0.00376379,0.00478093,0.00480342,3700,16500
1500,0.00448373,0.00521112,0.00432266,2200,15100
1510,0.0060189,0.00714498,0.00421975,2200,15500
1520,0.00773496,0.00942483,0.00532826,2100,14800
1530,0.00304191,0.00368312,0.00377604,2500,15300
1540,0.00396604,0.00560696,0.00373146,3500,14900
1550,0.00424069,0.00563464,0.00403715,2900,15000
1560,0.00976715,0.0107423,0.00430263,500,15800
1570,0.00659027,0.00812162,0.00510359,1700,16800
1580,0.00395397,0.00516438,0.00482036,4600,15300
1590,0.00934351,0.01082,0.00485339,900,15400
1600,0.00937569,0.0106006,0.00507188,900,17100
1610,0.00977256,0.0110839,0.00518156,700,16900
1620,0.00868183,0.0102244,0.00450614,900,15100
1630,0.00727262,0.00957051,0.0044133,2500,15200
1640,0.0073374,0.00953508,0.00401826,1500,14500
1650,0.00837888,0.00929784,0.00386482,500,15500
1660,0.00448622,0.00560714,0.00463084,2700,15400
1670,0.00381706,0.00468152,0.00412624,3100,14800
1680,0.00336401,0.00416391,0.00388478,3000,15300
1690,0.00569083,0.00703358,0.00520046,1900,16600
1700,0.00533392,0.00634525,0.00450818,2300,15400
1710,0.00542478,0.00688538,0.00487916,3500,15700
1720,0.00529577,0.00612619,0.00427485,1700,15800
1730,0.00439661,0.00546059,0.00375338,3900,15100
1740,0.00515511,0.00636447,0.00400519,3000,14600
1750,0.0101313,0.0116333,0.00487639,200,16300
1760,0.00633462,0.00809154,0.00428999,2700,15600
1770,0.00554934,0.00651583,0.0053421,1400,16200
1780,0.00535459,0.00666994,0.00427722,2500,13400
1790,0.00561468,0.00696783,0.00439085,1900,15200
1800,0.00595772,0.00736551,0.00437985,2600,15400
1810,0.0065506,0.00790311,0.00397635,1900,16100
1820,0.00705164,0.00875996,0.00412933,2200,14800
1830,0.00729606,0.00890331,0.00500776,1900,15300
1840,0.00525194,0.00650386,0.00422578,1900,15400
1850,0.00751301,0.00909492,0.00525738,1900,15400
1860,0.00639052,0.00752064,0.00419725,1500,14300
1870,0.00487227,0.00602287,0.0042648,2400,14100
1880,0.00541229,0.00649401,0.0036829,1400,13900
1890,0.00732172,0.00905485,0.00354072,2000,13900
1900,0.00802709,0.0100902,0.00381876,1600,15800
1910,0.00620464,0.00730032,0.00376932,1400,13300
1920,0.00600447,0.00730725,0.00452006,2400,17300
1930,0.00586631,0.00724016,0.00576533,3700,15600
1940,0.00586631,0.00724016,0.00576533,3700,15600
1950,0.0040741,0.00507802,0.00399752,2700,14800
1960,0.0057914,0.00717437,0.00483198,2200,15400
1970,0.0046875,0.00549229,0.00481148,2000,16000
1980,0.00521476,0.00623674,0.0039999,2400,15200
1990,0.00497187,0.00650194,0.0048255,3500,15200
