time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
1110,0.0203045,0.0229037,0.0161684,2300,17000
1120,0.0203045,0.0229037,0.0161684,2300,17000
1130,0.0206428,0.0228818,0.0135777,700,17200
1140,0.0201161,0.0228339,0.0122709,2100,18000
1150,0.0158092,0.0177887,0.0063861,900,17100
1160,0.0203293,0.0226087,0.00668449,700,16700
1170,0.0205755,0.0231312,0.00616777,700,17000
1180,0.0187167,0.0211466,0.0061019,300,15800
1190,0.0154121,0.0173034,0.0054196,1500,15500
1200,0.0217715,0.0252849,0.00400251,700,14800
1210,0.0280841,0.031163,0.00601427,100,15600
1220,0.0320357,0.0343278,0.00592855,100,14100
1230,0.0207098,0.024475,0.00500555,600,14600
1240,0.0205435,0.0275992,0.0660556,1300,13600
1250,0.126124,0.229917,0.587629,8300,14000
1260,0.115771,0.153192,0.443753,9500,18300
1270,0.0623788,0.0789461,0.219969,11500,18100
1280,0.0473358,0.0598076,0.186137,13100,16500
1290,0.0372808,0.0483804,0.147226,13000,18400
1300,0.0244295,0.0316804,0.0741704,10400,17000
1310,0.022086,0.027585,0.0638965,10500,16500
1320,0.0234608,0.0283668,0.0560653,7600,16400
1330,0.0221305,0.0261406,0.0392837,4800,15200
1340,0.0209306,0.0248714,0.0387214,3100,16600
1350,0.0226597,0.02647,0.023565,2700,15700
1360,0.0179421,0.0208863,0.0202706,2000,16400
1370,0.0147694,0.0169559,0.0130323,2300,14300
1380,0.0122567,0.0151868,0.0106725,2500,13800
1390,0.0126022,0.0149161,0.0135397,2700,14700
1400,0.0100157,0.0119885,0.0121003,3300,13800
1410,0.00585064,0.00820359,0.0125162,6900,15300
1420,0.0225044,0.031223,0.0712874,5700,15300
1430,0.0178178,0.0233817,0.0515308,8400,16600
1440,0.0112914,0.0136122,0.0386131,10300,17600
1450,0.00996746,0.011759,0.0198809,5100,16700
1460,0.00907898,0.0106987,0.0165958,3400,18000
1470,0.00591888,0.00766914,0.00986586,5100,16900
1480,0.00544767,0.00672279,0.00844358,4400,16700
1490,0.00525929,0.00623735,0.00645721,2300,15300
1500,0.00718897,0.00840405,0.00611255,1500,16400
1510,0.00658389,0.00761074,0.00531495,1300,15300
1520,0.00919897,0.0104729,0.00542218,1300,15000
1530,0.00723516,0.00829242,0.00511903,1700,14500
1540,0.00876063,0.0104775,0.00450723,1200,14500
1550,0.00777505,0.00896079,0.00421271,1500,14200
1560,0.00827193,0.00963578,0.00454313,1300,14400
1570,0.234945,0.3219,0.77011,10600,15400
