subnum,block,type,trial,type,stim,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
993,1,PRACTICE,-25,1,3,13226,1,607,1,NA,0,0,1
993,1,PRACTICE,-24,1,4,14870,2,240,1,NA,0,0,1
993,1,PRACTICE,-23,1,1,16058,1,402,1,NA,0,0,1
993,1,PRACTICE,-22,1,2,17683,2,247,1,NA,0,0,1
993,1,PRACTICE,-21,1,1,18811,1,434,1,NA,0,0,1
993,1,PRACTICE,-20,1,4,20272,2,432,1,NA,0,0,1
993,1,PRACTICE,-19,1,3,21571,1,513,1,NA,0,0,1
993,1,PRACTICE,-18,1,2,23347,2,433,1,NA,0,0,1
993,1,TEST,1,1,1,24671,1,498,1,NA,0,0,1
993,1,TEST,2,1,4,26058,2,485,1,NA,0,0,1
993,1,TEST,3,1,2,27609,1,431,0,NA,0,0,1
993,1,TEST,4,1,3,28871,1,670,1,NA,0,0,1
993,1,TEST,5,1,1,30746,1,462,1,NA,0,0,1
993,1,TEST,6,1,2,32345,2,399,1,NA,0,0,1
993,1,TEST,7,1,4,34018,2,314,1,NA,0,0,1
993,1,TEST,8,1,3,35441,1,447,1,NA,0,0,1
993,1,TEST,9,1,4,36945,2,390,1,NA,0,0,1
993,1,TEST,10,1,2,38175,2,610,1,NA,0,0,1
993,1,TEST,11,1,1,40062,1,452,1,NA,0,0,1
993,1,TEST,12,1,3,41747,2,293,0,NA,0,0,1
993,1,TEST,13,1,4,43248,2,565,1,NA,0,0,1
993,1,TEST,14,1,2,45083,1,561,0,NA,0,0,1
993,1,TEST,15,1,1,46926,1,511,1,NA,0,0,1
993,1,TEST,16,1,3,48614,1,489,1,NA,0,0,1
993,1,TEST,17,1,2,50370,2,390,1,NA,0,0,1
993,1,TEST,18,1,1,52060,1,419,1,NA,0,0,1
993,1,TEST,19,1,4,53738,2,446,1,NA,0,0,1
993,1,TEST,20,1,3,55151,1,768,1,NA,0,0,1
993,1,TEST,21,1,4,57089,2,387,1,NA,0,0,1
993,1,TEST,22,1,1,58505,1,578,1,NA,0,0,1
993,1,TEST,23,1,2,60287,2,361,1,NA,0,0,1
993,1,TEST,24,1,3,61863,1,467,1,NA,0,0,1
993,1,TEST,25,1,4,63587,2,384,1,NA,0,0,1
