subnum,trial,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
11,1P,1,1,1,6876,991,533,1,1,1148,1148
11,1P,1,2,2,7261,976,481,1,2,385,385
11,1P,1,3,3,7709,955,522,1,3,448,448
11,1P,1,4,4,8294,1060,571,1,4,585,585
