subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
141,1,MISTRESS,8,8939,0,MISTRESS,702,894,1,8,0
141,2,SEPARATE,8,10792,0,SEPARATE,639,1206,1,8,0
141,3,BUILDING,8,12426,0,BUILDING,697,931,1,8,0
141,4,FIVOAJTI,8,16342,1,FIVOAJTI,1563,2344,1,8,0
141,5,FIVOAJTI,8,20350,1,FIVOAJTI,1660,2341,1,10,1
141,6,FIVOAJTI,8,23727,1,FIVOAJTI,977,2393,1,10,1
141,7,FIVOAJTI,8,27052,1,FIVOAJTI,756,2559,1,8,0
141,8,BACKWARD,8,29011,0,BACKWARD,732,1216,1,8,0
141,9,ALTHOUGH,8,31095,0,ALTHOUGH,695,1380,1,8,0
141,10,FIVOAJTI,8,34022,1,FIVOAJTI,764,2159,1,8,0
141,11,FIVOAJTI,8,37035,1,FIVOAJTI,910,2095,1,8,0
141,12,FIVOAJTI,8,40631,1,FIVOAJTI,678,2911,1,12,2
141,13,GRACIOUS,8,43326,0,GRACIOUS,747,1939,1,8,0
141,14,FIVOAJTI,8,46153,1,FIVOAJTI,718,2098,1,8,0
141,15,SQUIRREL,8,49289,0,SQUIRREL,1143,1986,1,8,0
141,16,PEACEFUL,8,51635,0,PEACEFUL,755,1579,1,8,0
141,17,RESTLESS,8,53366,0,RESTLESS,628,1095,1,8,0
141,18,CARRIAGE,8,55770,0,CARRIAGE,657,1737,1,10,1
141,19,FIVOAJTI,8,59228,1,FIVOAJTI,1056,2392,1,8,0
141,20,WEAKNESS,8,61182,0,WEAKNESS,751,1195,1,8,0
141,21,FIVOAJTI,8,64128,1,FIVOAJTI,847,2091,1,8,0
141,22,FIVOAJTI,8,67124,1,FIVOAJTI,781,2209,1,10,1
141,23,CONGRESS,8,69586,0,CONGRESS,641,1816,1,10,1
141,24,FIVOAJTI,8,72148,1,FIVOAJTI,771,1784,1,8,0
141,25,SCARCELY,8,75463,0,SCARCELY,741,2569,1,10,1
141,26,ACQUAINT,8,78843,0,ACQUAINT,758,2611,1,8,0
141,27,PLATFORM,8,80904,0,PLATFORM,739,1314,1,8,0
141,28,FIVOAJTI,8,83850,1,FIVOAJTI,835,2102,1,8,0
141,29,FIVOAJTI,8,86386,1,FIVOAJTI,701,1827,1,8,0
141,30,FIVOAJTI,8,88731,1,FIVOAJTI,598,1738,1,8,0
141,31,JUDGMENT,8,91408,0,JUDGMENT,988,1681,1,8,0
141,32,FIVOAJTI,8,94039,1,FIVOAJTI,670,1952,1,8,0
141,33,STANDARD,8,96001,0,STANDARD,667,1287,1,8,0
141,34,FIVOAJTI,8,98398,1,FIVOAJTI,736,1651,1,8,0
141,35,FAREWELL,8,100482,0,FAREWELL,666,1409,1,8,0
141,36,FIVOAJTI,8,102832,1,FIVOAJTI,722,1619,1,8,0
141,37,QUESTION,8,104538,0,QUESTION,773,925,1,8,0
141,38,FIVOAJTI,8,106862,1,FIVOAJTI,645,1668,1,8,0
141,39,SENTENCE,8,109251,0,SENTENCE,648,1731,1,10,1
141,40,FIVOAJTI,8,111790,1,FIVOAJTI,748,1782,1,8,0
