333,1,40,40,1,1,1,B,51,<rshift>,B,1181,1,2
333,1,40,40,1,1,2,B,51,<rshift>,B,707,1,2
333,1,40,40,1,1,3,B,59,<lshift>,A,673,0,-2
333,1,40,40,1,1,4,B,57,<rshift>,B,664,1,2
333,1,40,40,1,1,5,B,59,<rshift>,B,979,1,2
333,1,40,40,1,1,6,B,56,<rshift>,B,1143,1,2
333,1,40,40,1,1,7,B,59,<lshift>,A,701,0,-2
333,1,40,40,1,1,8,B,54,<lshift>,A,737,0,-2
333,1,40,40,1,1,9,B,61,<rshift>,B,701,1,2
333,1,40,40,1,1,10,B,52,<rshift>,B,1291,1,2
333,1,40,40,1,1,11,A,53,<lshift>,A,1141,1,2
333,1,40,40,1,1,12,A,47,<lshift>,A,1131,1,2
333,1,40,40,1,1,13,A,50,<lshift>,A,938,1,2
333,1,40,40,1,1,14,B,52,<lshift>,A,720,0,-2
333,1,40,40,1,1,15,A,54,<lshift>,A,642,1,2
333,1,40,40,1,1,16,B,60,<rshift>,B,742,1,2
333,1,40,40,1,1,17,
