subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
tntn,1,1,1,50,4,-1,1,3945,3803
tntn,1,2,1,100,4,-1,1,8359,1028
tntn,1,3,1,50,3.75,-1,1,9999,813
tntn,1,4,1,6,4,1,0,11420,766
tntn,1,5,1,20,4,-1,1,12794,735
tntn,1,6,1,20,3.75,1,0,14137,410
tntn,1,7,1,20,4.75,-1,1,15154,344
tntn,1,8,1,100,3.75,1,0,16106,248
tntn,1,9,1,6,5,-1,1,16969,20
tntn,1,10,1,50,3.5,-1,0,17595,5000
