subnum,trial,config,c1,c2,c3,c4,sampleprob,rainprob,prob2,time,rt,resp,outcome,correct
otuh,1,A,0,0,0,1,0.14,0.15,0.15,19186,1363,<rshift>,0,1
otuh,2,H,1,0,0,0,0.14,0.85,0.85,21568,495,<lshift>,1,1
otuh,3,N,1,1,1,0,0.041,0.79,0.79,23069,348,<rshift>,1,0
otuh,4,C,0,0,1,1,0.087,0.1,0.1,24924,357,<lshift>,0,0
