subnum,resptype,isi,trial,sound,resp,quad,leftright,updown,respquad,corr,lapse,rt
1515,2,200,1,1,5,2,right,top,2,1,0,733
1515,2,200,2,1,5,2,right,top,2,1,0,474
1515,2,200,3,1,2,4,right,bottom,4,1,0,628
1515,2,200,4,1,4,1,left,top,1,1,0,502
1515,2,200,5,1,5,2,right,top,2,1,0,428
1515,2,200,6,1,4,1,left,top,1,1,0,599
1515,2,200,7,1,4,1,left,top,1,1,0,445
1515,2,200,8,1,1,3,left,bottom,3,1,0,369
1515,2,200,9,1,5,2,right,top,2,1,0,475
1515,2,200,10,1,5,2,right,top,2,1,0,405
1515,2,200,11,1,4,1,left,top,1,1,0,991
1515,2,200,12,1,5,2,right,top,2,1,0,517
1515,2,200,13,1,5,2,right,top,2,1,0,575
1515,2,200,14,1,4,3,left,bottom,1,0,0,628
1515,2,200,15,1,1,2,right,top,3,0,0,375
1515,2,200,16,1,5,3,left,bottom,2,0,0,187
1515,2,200,17,
