sub,trial,domhand,hand,tap,sumtime,trialtime,rt
1616,1,Left,Left,1,30,30,30
1616,1,Left,Left,2,189,191,159
1616,1,Left,Left,3,337,342,148
1616,1,Left,Left,4,502,510,165
1616,1,Left,Left,5,675,685,173
1616,1,Left,Left,6,845,857,170
1616,1,Left,Left,7,1009,1024,164
1616,1,Left,Left,8,1172,1191,163
1616,1,Left,Left,9,1349,1369,177
1616,1,Left,Left,10,1525,1547,176
1616,1,Left,Left,11,1686,1709,161
1616,1,Left,Left,12,1848,1874,162
1616,1,Left,Left,13,2013,2041,165
1616,1,Left,Left,14,2153,2183,140
1616,1,Left,Left,15,2307,2339,154
1616,1,Left,Left,16,2764,2798,457
1616,1,Left,Left,17,2916,2952,152
1616,1,Left,Left,18,3074,3111,158
1616,1,Left,Left,19,3243,3282,169
1616,1,Left,Left,20,3401,3441,158
1616,1,Left,Left,21,3561,3602,160
1616,1,Left,Left,22,3722,3765,161
1616,1,Left,Left,23,4036,4081,314
1616,1,Left,Left,24,4198,4244,162
1616,1,Left,Left,25,4364,4412,166
1616,1,Left,Left,26,4523,4573,159
1616,1,Left,Left,27,4681,4733,158
1616,1,Left,Left,28,4831,4886,150
1616,1,Left,Left,29,4982,5039,151
