subid,abstime,trial,edits,deletes,edges,drawtime,standard,drawndiagram
riz7108,358427,5,15,0,9,39433,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|157;73|72;272|232;64|184;190|268;68
riz7108,423722,6,37,0,20,62702,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|184;228|228;192|192;112|112;130|130;170|170;188|188;145|145;85|49;149|109;130|109;91|91;112|149;170|145;109|228;188
riz7108,461518,7,25,0,14,35316,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;224|224;246|246;186|186;168|168;128|128;106|88;110|110;128|110;210|210;246|186;124|106;168
riz7108,536274,8,49,5,16,72614,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|125;205|249;205|249;213|213;173|173;172|191;151|151;169|172;171|191;173|125;89|89;110|110;128|128;151|110;150
riz7108,647134,9,33,3,11,108806,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;209|209;165|165;130|165;245|245;289|289;209|289;271|271;231|231;214|214;174
riz7108,801061,10,56,5,18,150432,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|167;189|189;211|211;193|193;171|171;153|167;247|247;269|269;209|209;231|231;213|213;193|231;211|213;153|213;233|233;254|254;290
JAK2828,77886,1,17,0,10,54407,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;326|326;336|336;332|332;256|236;226|228;76|70;190|146;156
JAK2828,182260,2,37,1,17,100680,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|90;133|313;133|313;371|371;370|370;331|331;326|326;367|367;366|366;304|304;124|304;313|273;264|267;127|127;130|130;270
JAK2828,304699,3,37,0,19,120801,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|67;150|150;153|153;74|74;76|76;156|156;235|235;335|335;333|333;253|253;231|231;330|330;328|328;208|208;124|333;353|353;355|355;335
JAK2828,429372,4,41,0,17,120426,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|164;106|106;115|115;295|295;286|113;293|173;166|166;226|226;233|178;158|158;115|178;156|295;258|258;238|238;256|256;156
JAK2828,514089,5,31,2,12,79737,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|184;188|188;268|188;68|252;272|72;252|232;64|188;190|73;137
JAK2828,602632,6,49,1,21,82908,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|84;48|84;85|84;184|85;145|145;109|109;49|109;91|91;112|112;130|130;109|109;149|149;170|170;130|170;188|188;145|184;228|188;228|228;192|192;112
JAK2828,680260,7,37,1,14,71430,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;186|186;168|168;106|106;128|128;110|110;88|128;168|110;210|186;246|246;210|246;224|224;124
JAK2828,777268,8,45,2,16,94201,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|205;249|125;205|125;89|89;110|110;128|128;151|151;169|110;150|151;191|191;173|173;213|213;249|173;172|172;171
JAK2828,932023,9,45,5,12,149858,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|130;147|166;210|166;147|210;290|290;246|246;166|290;272|272;232|232;214|214;174
JAK2828,1085461,10,32,0,18,150409,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|153;171|171;193|193;211|211;167|167;247|247;291|291;271|271;249|249;209|209;231|231;211|231;213|213;193|153;193|249;231|271;253
PSH8491,80059,1,15,0,9,68100,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|336;326|326;66|146;156|236;226|256;332|228;76|70;190
PSH8491,192877,2,33,0,18,106392,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|90;133|133;273|273;313|313;371|371;370|370;331|331;326|326;367|367;366|366;304|304;124|304;313|273;264|267;127|127;130|130;270
PSH8491,301857,3,29,0,16,103472,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|67;150|150;153|153;74|74;76|76;136|136;215|215;335|335;333|333;233|233;211|211;310|310;308|308;188|188;124
PSH8491,468151,4,33,0,17,144789,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|164;106|106;115|115;158|158;178|178;156|156;256|256;238|238;258|258;295|295;286|295;115|113;293|233;226|226;166|166;173
PSH8491,567722,5,19,0,9,89722,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|272;72|68;268|73;157|64;232|184;190
PSH8491,669652,6,39,0,21,93298,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|184;228|228;188|188;145|145;85|49;109|109;145|188;170|170;130|130;109|149;109|149;170|109;91|91;112|112;130|112;192|192;228
PSH8491,739324,7,25,0,14,62626,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|88;110|110;128|128;106|106;168|168;128|168;186|186;124|124;224|224;246|246;186|246;210|210;110
PSH8491,850464,8,29,0,16,78372,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|125;205|205;249|169;151|151;191|191;173|173;213|213;249|173;172|172;171|151;128|125;89|89;110|110;128|110;150
PSH8491,1009160,9,10,0,6,154880,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|166;130|166;210|174;214|214;232
PSH8491,1171375,10,34,0,18,150864,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|153;171|167;211|211;193|193;171|167;267|267;311|311;291|291;269|209;269|209;231|231;211|231;213|213;193|311;293|293;273|273;291
anv1399,617130,1,62,13,9,151071,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;326|326;336|229;76|226;236|146;156|191;71|276;333
anv1399,778117,2,43,1,10,153607,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|90;133|273;133|124;264|273;264|264;304|273;313|313;304|366;304
anv1399,954237,3,32,0,10,172606,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|67;150|153;150|153;74|74;76|76;136|136;235|335;235|335;333
anv1399,1112716,4,25,0,6,154036,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|106;164|116;106|116;159|179;159
anv1399,1242891,5,23,0,5,125201,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|157;73
anv1399,1459884,6,27,1,5,209075,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|128;109
anv1399,1555718,7,37,0,14,91549,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;186|186;246|246;224|224;124|186;168|168;106|106;128|128;110|110;88|110;210|210;246|128;168
anv1399,1643565,8,29,0,16,80613,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|125;205|205;249|125;89|89;110|110;128|128;151|151;169|249;213|213;173|173;191|191;151|173;172|172;171|110;150
anv1399,1750267,9,7,1,3,95552,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|174;274
anv1399,1934987,10,44,11,0,166786,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,
VON1854,33735,1,13,1,3,25734,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|168;126
VON1854,154386,2,61,4,19,116343,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;304|304;366|366;367|367;326|326;331|331;370|371;370|371;313|313;133|133;90|127;129|129;130|130;290|287;290|287;127|284;287|290;293
VON1854,236522,3,29,0,16,72882,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|67;150|150;153|153;74|74;76|76;136|136;215|215;335|335;333|333;233|233;211|211;310|310;308|308;188|188;124
VON1854,383465,4,39,1,18,145199,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|164;106|106;115|115;158|158;178|178;156|156;256|256;238|238;258|258;295|295;286|294;295|295;115|113;293|173;166|166;226|233;226
VON1854,449520,5,27,0,14,62737,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;268|268;188|184;188|188;68|268;272|272;232|232;64|232;72|77;277|277;272|188;190|73;157
VON1854,519812,6,47,2,20,68493,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|85;145|84;184|184;228|228;188|188;145|188;170|170;149|149;109|109;130|109;91|91;112|112;130|130;170|112;192|49;109|145;109
VON1854,601294,7,39,2,15,78871,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|106;128|128;110|110;88|110;150|210;150|168;128|168;106|168;186|124;186|186;246|246;210|246;224|224;124
VON1854,682623,8,43,2,18,79009,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|125;205|205;249|169;151|151;128|125;89|89;110|110;128|151;191|191;192|232;249|173;192|173;213|213;232|173;172|172;171|110;150
VON1854,834726,9,50,10,6,150423,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|130;166|166;210|174;210|210;270|166;246
VON1854,971687,10,57,3,21,135574,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|153;171|171;193|193;211|211;167|193;213|213;231|231;211|209;231|167;247|291;247|291;271|271;249|249;209|271;235|235;255|255;291|235;213|153;173|173;192
MAM5044,76310,1,15,0,9,59607,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;326|336;326|256;332|228;76|146;156|226;236|190;70
MAM5044,160116,2,37,1,17,81852,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|90;133|124;304|133;313|304;313|313;371|371;370|366;367|366;304|367;326|331;370|331;326|264;273|267;127|270;130|130;127
MAM5044,251290,3,31,0,16,79758,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|150;67|150;153|153;74|74;76|76;136|136;215|215;335|335;333|333;233|233;211|211;310|310;308|308;188|188;124
MAM5044,357636,4,37,0,17,104685,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|164;106|106;115|286;295|295;258|115;158|158;178|258;238|238;256|156;178|156;256|295;115|293;113|233;226|166;173|226;166
MAM5044,452486,5,21,0,9,93126,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|268;68|72;272|73;157|64;232|190;184
MAM5044,511248,6,41,0,21,56726,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|184;228|228;188|188;145|145;85|49;109|109;145|188;170|170;130|130;112|112;192|192;228|130;109|109;149|149;170|109;91|91;112
MAM5044,549725,7,27,0,15,35852,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;224|224;246|206;246|206;186|186;124|186;168|168;106|168;128|128;106|128;110|110;88|110;210|246;210
MAM5044,612635,8,31,0,16,61538,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|249;205|205;125|169;151|151;128|128;110|110;89|89;125|249;213|213;173|173;191|191;151|110;150|173;172|172;171
MAM5044,783169,9,57,9,12,168387,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|210;209|209;165|165;130|165;245|245;289|209;289|289;271|271;231|231;214|214;174
MAM5044,909855,10,41,0,22,123806,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;213|213;193|231;209|209;249|249;271|271;291|291;247|247;167|291;274|274;255|271;235|235;255|235;213|153;213|249;213
BOI6266,68382,1,19,0,11,43674,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;226|226;236|226;326|326;336|256;332|228;76|190;70|150;152|146;156
BOI6266,192080,2,75,8,18,121412,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;264|264;304|304;366|367;366|367;326|326;331|90;133|133;313|371;313|371;370|370;331|304;313|264;273|267;127|127;130|130;270
BOI6266,261245,3,31,0,16,67477,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|124;188|188;308|308;310|310;211|211;233|233;333|333;335|335;215|67;150|150;153|153;74|74;76|76;136|136;215
BOI6266,414957,4,72,10,14,150463,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|164;106|106;115|115;158|158;178|178;156|286;295|293;113|295;115|295;258|258;238|238;256|256;156
BOI6266,493905,5,25,2,9,74617,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|268;68|272;72|73;157|232;64|184;190
BOI6266,581072,6,39,0,21,52719,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|184;228|228;188|188;145|145;85|145;109|109;49|109;149|149;170|130;170|109;130|109;91|112;91|130;112|170;188|228;192|192;112
BOI6266,617922,7,25,0,14,33592,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;186|124;224|224;246|246;186|186;168|168;106|106;128|128;168|128;110|110;88|110;210|210;246
BOI6266,696109,8,29,0,16,59831,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|169;151|151;191|191;173|173;213|213;249|125;205|205;249|125;89|89;110|110;128|128;151|173;172|171;172|110;150
BOI6266,805358,9,19,0,11,105155,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|210;166|166;130|166;206|206;228|228;268|268;290|290;210|290;254|254;174
BOI6266,961789,10,68,11,13,152544,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|167;211|211;193|171;193|171;153|231;211|231;213|193;213|167;267|231;209|209;269|267;310
CAR9733,117101,1,61,4,19,108669,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;86|86;66|106;126|146;166|186;126|86;106|186;266|286;326|266;286|326;336|70;150|146;156|76;152|190;150|226;236|228;133|256;332
CAR9733,198746,2,47,2,21,79119,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|90;133|127;130|127;247|124;284|133;293|284;293|284;324|324;333|293;333|324;366|333;371|367;366|370;371|367;346|346;350|351;370|350;351|247;287|130;290
CAR9733,314943,3,29,0,16,114343,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|67;150|150;153|153;74|74;76|76;136|136;215|124;188|308;188|310;308|310;211|211;233|233;333|333;335|335;215
CAR9733,461517,4,57,3,22,93940,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|286;289|289;231|231;171|164;104|104;111|111;171|104;64|64;71|71;111|64;25|25;26|26;46|46;49|71;30|30;29|29;49|106;226|226;228|229;228|229;109
CAR9733,552702,5,19,0,11,88314,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|184;188|188;268|188;68|188;190|64;232|72;272|73;157
CAR9733,612817,6,45,0,22,57934,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|184;228|85;145|145;188|188;228|228;188|188;170|170;130|130;109|109;149|149;170|109;91|91;112|112;130|112;192|192;228|145;109|49;109
CAR9733,659647,7,29,1,14,44773,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|106;128|128;110|110;88|124;224|224;246|186;246|124;186|186;168|168;106|128;168|110;210|210;246
CAR9733,766354,8,33,1,16,59798,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|125;205|249;205|125;89|169;151|151;128|128;110|110;89|151;191|191;173|173;213|213;249|171;172|172;173|110;150
CAR9733,839967,9,19,0,11,70489,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|130;166|166;210|166;246|246;290|210;290|174;214|214;232|232;272|272;290
CAR9733,965245,10,31,0,17,76654,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|167;247|167;189|171;153|189;211|211;193|171;193|153;193|211;231|193;213|213;231|231;209|209;269|269;247|269;251|251;231
WAR7244,89613,1,45,6,10,84671,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;326|326;336|332;256|236;226|228;76|146;156|209;190|190;70
WAR7244,207797,2,83,12,17,116094,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;304|304;366|366;367|367;326|326;331|331;370|370;371|313;371|313;133|133;90|304;313|264;273|267;127|130;127|130;270
WAR7244,301959,3,43,2,16,91409,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|124;188|188;308|308;310|310;211|211;233|233;333|333;335|335;215|215;136|136;76|76;74|74;153|153;150|150;67
WAR7244,386590,4,33,0,18,80657,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|286;295|295;258|258;238|238;256|256;156|156;178|178;158|158;115|115;106|106;164|295;115|113;293|253;233|233;226|226;166|166;173
WAR7244,445313,5,15,0,9,56782,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|68;268|72;272|184;190|232;64|73;157
WAR7244,508690,6,47,2,21,60677,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|85;145|84;184|184;228|228;188|188;145|145;109|109;49|109;130|130;112|112;91|91;109|112;192|192;228|130;170|170;149|149;109|170;188
WAR7244,573298,7,29,1,14,62161,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|106;128|128;110|110;88|110;210|210;246|246;224|224;124|128;168|168;106|168;186|186;246|186;124
WAR7244,646639,8,29,0,16,63497,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|169;151|151;128|128;110|110;89|89;125|125;205|205;249|249;213|213;173|173;191|191;151|173;172|172;171|110;150
WAR7244,744903,9,23,1,11,94246,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|130;166|166;210|210;290|166;246|246;290|290;272|272;232|232;214|214;174
WAR7244,901583,10,59,2,23,153995,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|153;171|211;193|193;171|211;167|167;187|187;231|231;211|231;213|213;193|153;213|229;250|228;229|228;208|250;272|272;252|252;231|252;216|216;236|236;272|216;194|194;173
ter4281,38836,1,15,0,9,31960,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;326|326;336|332;256|236;226|228;76|190;70|146;156
ter4281,104746,2,45,2,18,64180,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;264|264;304|304;366|366;367|367;326|326;331|331;370|370;371|371;313|313;304|264;273|313;133|133;90|127;267|270;130|130;127
ter4281,170459,3,29,0,16,63107,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|124;188|188;308|308;310|310;211|211;233|233;333|333;335|335;215|67;150|150;153|153;74|74;76|76;136|136;215
ter4281,280948,4,49,3,19,108606,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|286;293|293;295|293;113|113;106|106;164|113;115|115;295|256;156|115;158|158;178|178;156|256;238|238;258|258;295|233;226|226;166|173;166
ter4281,327423,5,15,0,9,44744,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|72;272|73;157|232;64|190;184|268;68
ter4281,378509,6,39,0,21,48677,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|184;228|228;188|188;145|145;85|145;109|109;49|188;170|170;149|149;109|109;130|109;91|91;112|112;192|192;228|170;130|130;112
ter4281,407825,7,25,0,14,27633,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;224|224;246|246;186|186;124|186;168|168;106|106;128|128;168|128;110|110;210|210;246|88;110
ter4281,459111,8,31,0,16,49616,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|125;205|205;249|249;213|213;173|173;191|191;151|151;169|151;128|128;110|110;89|89;125|173;172|172;171|150;110
ter4281,500631,9,19,0,11,38725,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|210;166|166;130|166;246|246;290|290;210|290;272|272;232|232;214|214;174
ter4281,606989,10,53,3,21,104363,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;269|209;249|269;291|291;271|271;249|271;235|249;213|193;213|153;193|213;235|235;255|255;291
ter4281,84090,1,21,1,9,47284,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;326|326;336|332;256|236;226|146;156|76;228|190;70
ter4281,198597,2,75,11,17,111742,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;304|304;366|366;367|367;326|326;331|331;370|370;371|313;371|313;133|133;90|127;130|304;313|273;264|127;267|270;130
ter4281,264645,3,29,0,16,60963,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|124;188|188;308|308;310|310;211|211;233|233;333|333;335|335;215|215;136|136;76|76;74|74;153|153;150|150;67
ter4281,402185,4,47,4,17,135302,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|286;297|297;117|106;117|106;164|166;226|226;234|174;166|114;294|297;260|260;240|240;258|117;160|160;180|180;158|158;258
