subid,abstime,trial,edits,deletes,edges,drawtime,standard,drawndiagram
WAR6224,1484109,7,25,0,14,41385,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;186|186;168|168;106|88;110|110;128|128;106|168;128|186;246|246;224|124;224|210;110|210;246
WAR6224,1569394,8,29,0,16,82813,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|249;205|205;125|125;89|89;110|110;128|128;151|151;169|151;191|191;173|173;213|213;249|172;173|172;171|110;150
WAR6224,1677391,9,19,0,11,101210,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|130;166|166;210|210;310|266;166|266;310|292;310|174;214|214;232|232;292
WAR6224,1821511,10,55,4,20,141469,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|153;171|171;193|211;167|211;193|211;231|231;209|193;213|213;231|167;247|247;291|291;271|271;249|249;209|291;255|255;235|235;271|213;235|213;153
56B8Q,132727,1,25,1,10,82447,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;106|106;326|326;336|256;332|236;226|228;76|146;156|190;70
56B8Q,253643,2,37,2,16,116180,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;304|304;366|366;367|326;367|326;331|370;331|370;371|371;313|313;133|133;90|284;293|290;130|130;127|127;287
56B8Q,387768,3,29,0,16,129360,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|124;188|188;308|308;310|310;211|211;233|233;333|333;335|335;215|215;136|136;76|76;74|74;153|153;150|150;67
56B8Q,465985,4,35,9,3,73443,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,247;149|150;152|231;251
56B8Q,623953,5,22,1,8,150093,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|77;277|184;190|232;64|188;268|188;68
56B8Q,713572,6,39,0,20,85791,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|228;184|228;188|188;145|145;85|145;109|49;149|149;170|170;130|130;109|130;112|112;91|91;109|112;192|192;228|188;170
56B8Q,774283,7,27,0,15,57689,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;186|186;246|246;224|224;124|186;168|168;128|128;110|110;88|106;128|106;168|110;170|170;210|210;246
56B8Q,951291,8,16,3,3,175280,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|249;248
56B8Q,1108137,9,16,1,7,153361,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|210;166|166;130|166;266|266;311|330;311
56B8Q,1285314,10,22,0,13,165845,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|167;188|188;211|167;247|247;291|291;271|249;271|249;189|211;193|193;171|171;153|271;254
JMJ0224,165884,1,18,1,6,150156,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;316|96;136|157;76|187;328|66;306
JMJ0224,334320,2,69,2,17,157812,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;304|367;368|304;367|367;368|368;327|371;332|327;332|332;371|371;372|372;315|315;135|135;92|92;90|315;304|255;244
JMJ0224,482555,3,57,2,17,145461,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|188;124|308;188|188;308|308;310|310;211|211;233|233;333|333;335|335;215|215;136|136;76|76;74|74;153|153;150|150;67|67;64
JMJ0224,635884,4,44,4,14,150399,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|286;287|287;246|246;251|251;290|290;291|291;233|233;133|133;53|53;10|10;7|7;44|224;44|224;233
JMJ0224,756892,5,17,0,10,117683,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|72;272|72;177|68;268|64;232|232;190|190;184
JMJ0224,936083,6,37,1,16,173480,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|184;207|85;145|145;109|109;49|145;167|167;207|167;149|149;109|109;91|91;171|171;207
JMJ0224,1007624,7,33,0,16,68260,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;186|186;168|168;106|106;128|128;168|88;110|110;128|228;168|228;246|246;186|246;224|224;124|228;210|110;210
JMJ0224,1088831,8,31,0,17,74162,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|125;205|205;249|249;213|213;173|173;191|191;151|151;169|173;172|173;172|172;171|125;89|89;110|110;128|128;151|110;150
JMJ0224,1148365,9,21,0,12,56481,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|130;165|210;209|165;209|174;214|214;231|231;271|271;289|289;209|165;245|245;289
JMJ0224,1222419,10,27,0,14,62425,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|153;171|171;193|193;230|230;167|167;247|247;310|310;230|310;255|255;215|215;233|233;193|153;193
