subnum,trial,trial_type,correct1,correct2,response1,response2,num_correct,both_correct,start_time,complete_time,rt,timestamp
16616,p1,practice,1,3,2,1,1,0,2874,4338,1464,Thu Nov  6 10:06:08 2025
16616,p2,practice,2,3,3,1,1,0,6855,8685,1830,Thu Nov  6 10:06:12 2025
16616,p3,practice,1,4,2,4,1,0,9712,10972,1260,Thu Nov  6 10:06:15 2025
16616,p4,practice,1,3,3,2,1,0,11988,12944,956,Thu Nov  6 10:06:17 2025
16616,p4,practice,1,3,2,1,1,0,21012,26925,5913,Thu Nov  6 10:06:31 2025
16616,t1,test,1,3,4,3,1,0,26932,45525,18593,Thu Nov  6 10:06:49 2025
