gender,"Genre: 1 féminin, 2 masculin"
age,"Quel est votre âge?"
number,"Nombre: "
inst1,"Des nombres seront affichés à l'écran."
inst2,"Veuillez répondre si le nombre affiché est"
inst3,"plus petit ou plus grand que "
inst4,"Pressez une touche lorsque vous êtes prêt pour commencer."
left,"<Gauche> pour "
right,"<Droite> pour "
up,"<Haut> pour "
down,"<Bas> pour "
smaller,"plus petit que "
bigger,"plus grand que "
wrong,"FAUX"
debrief,"Merci pour votre participation"
