gender,"Geschlecht: 1 weiblich 2 männlich"
age,"Wie alt sind sie?""
number,"Zahl:"
inst1,"Es werden Ihnen nun einzelne Zahlen am Bildschirm gezeigt. "
inst2,"Entscheiden Sie, ob der gezeigte Zahl "
inst3,"ist grösser oder kleiner als "
inst4,"Drücken Sie eine Taste, wenn Sie bereit sind."
left,"<Links> für "
right,"<Rechts> für "
up,"<Oben> für "
down,"<Unten> für "
smaller,"kleiner als "
bigger,"grösser als "
wrong,"FALSCH"
debrief,"Vielen Dank für Ihre Teilnahme"
