gender,"Gender: 1 for female; 2 for male"
age,"How old are you?"
number,"Number: "
inst1,"Some numbers will be shown on the screen."
inst2,"Decide if the presented number is"
inst3,"bigger or smaller than "
inst4,"Press any key when you are ready."
left,"<Left> for "
right,"<Right> for "
up,"<Up> for "
down,"<Down> for "
smaller,"smaller than "
bigger,"bigger than "
wrong,"WRONG"
debrief,"Thanks for your participation"
