subnum,trial,targ,foil,time,delay,resp,corr,mask,presstart,respend,prestime,rt
uaeuoaeu,1,d,b,12649,243,right,0,%*/,12849,13386,243,193
uaeuoaeu,2,a,b,14649,162,left,1,$&\,14850,15822,162,709
uaeuoaeu,3,b,d,16649,291,right,0,$*|,16849,17931,291,690
