subnum,block,trial,target,targetname,forback,updown,hand,handname,resp,time1,rt,corr
thaoua,PRACTICE,1,-1,greencircle,-1,1,-1,right,right,20184,744,1
thaoua,PRACTICE,2,-1,greencircle,-1,-1,1,left,left,21882,979,1
thaoua,PRACTICE,3,-1,greencircle,-1,-1,-1,right,left,23813,220,0
thaoua,PRACTICE,4,1,redsquare,1,1,-1,right,right,24986,166,1
