subnum,type,trialnum,target,resp,rT,resptype
aoeutah,zero,2,1,0,0,false negative
aoeutah,zero,3,0,1,1439,false positive
aoeutah,zero,4,1,1,832,true positive
aoeutah,zero,5,0,1,44,false positive
aoeutah,zero,6,0,0,1884,true negative
aoeutah,zero,7,0,1,1065,false positive
