subnum,trial,config,c1,c2,c3,c4,sampleprob,rainprob,prob2,time,rt,resp,outcome,correct
aaaa,1,M,1,1,0,1,0.032,0.57,0.57,6040,1996,right,1,0
aaaa,2,H,1,0,0,0,0.14,0.85,0.85,9537,939,left,1,1
