subnum,trial,abstime,prestime,delay,size,same,resp,corr,rt
example,1,61048,300,1000,3,0,<lshift>,1,830
example,2,65546,300,1000,1,1,<rshift>,1,730
example,3,70095,300,1000,3,1,<rshift>,1,780
example,4,74541,300,1000,12,0,<lshift>,1,430
example,5,78853,300,1000,2,1,<rshift>,1,537
example,6,83541,300,1000,8,0,<rshift>,0,965
example,7,87704,300,1000,3,1,<lshift>,0,501
example,8,92485,300,1000,1,0,<lshift>,1,1016
