subnum,maze,shortestpath,totalmoves,pathlength,planningtime,firstmovetime,solutiontime,totaltime,moveseq,bestseq
116,PRACTICE,9,9,9,332,592,1122,1714,1|2|3|4|9|14|15|20|25,1|2|3|4|9|14|15|20|25
116,1,49,71,63,349,999,12638,13637,1|16|31|32|33|34|35|36|37|52|53|68|69|70|71|86|101|86|71|70|55|70|69|68|83|82|97|96|81|80|95|80|79|94|109|108|123|122|137|152|167|168|183|198|213|214|215|200|201|202|187|188|189|190|191|176|177|178|193|194|209|224|225,1|16|31|32|33|34|35|36|37|52|53|68|83|82|97|96|81|80|79|94|109|108|123|122|137|152|167|168|183|198|213|214|215|200|201|202|187|188|189|190|191|176|177|178|193|194|209|224|225
116,2,35,64,59,884,1038,12228,13266,1|2|3|18|19|20|21|36|35|50|65|66|67|68|69|84|99|100|115|114|129|128|143|142|157|158|173|172|187|202|217|218|217|202|187|172|173|158|157|142|127|142|143|128|129|130|131|132|117|118|133|148|149|164|165|180|195|210|225,1|2|3|18|19|20|21|36|35|50|65|66|67|68|69|84|99|100|115|114|129|130|131|132|117|118|133|148|149|164|165|180|195|210|225
116,PRACTICE,9,9,9,578,727,1250,1977,1|2|3|4|9|14|15|20|25,1|2|3|4|9|14|15|20|25
116,PRACTICE,9,10,9,366,504,1114,1618,1|2|3|4|9|14|15|20|25,1|2|3|4|9|14|15|20|25
