subnum,trial,ticker,sec,skip,resp,corr,starttime,rt,curtime
toau,1,1,1,0,0,1,9566,999,9566
toau,2,2,2,0,0,1,10566,600,10566
toau,3,3,3,0,1,0,11468,502,11618
toau,4,5,5,1,1,1,12289,270,12618
toau,5,6,6,0,0,1,13618,600,13618
toau,6,7,7,0,0,1,14618,600,14618
toau,7,8,8,0,0,1,15618,600,15618
