11111,1,test,P,57,2,1060,440,P,1,1410|536|1|<pressed>,1,1,113994,397
11111,1,test,P,58,1,860,440,P,1,1410|536|1|<pressed>,1,1,115494,423
11111,1,test,P,59,2,1060,440,P,1,1410|536|1|<pressed>,1,1,116994,364
11111,1,test,P,60,2,1060,440,P,1,1410|536|1|<pressed>,1,1,118494,317
11111,1,test,P,61,1,860,440,P,1,1410|536|1|<pressed>,1,1,119994,468
11111,1,test,P,62,4,1060,640,P,1,1410|536|1|<pressed>,1,1,121494,422
11111,1,test,P,63,1,860,440,P,1,1410|536|1|<pressed>,1,1,122994,413
11111,1,test,P,64,2,1060,440,R,0,1410|536|1|<pressed>,1,0,124494,398
11111,1,test,P,65,4,1060,640,R,0,NONE,0,1,125994,1450
11111,1,test,P,66,1,860,440,P,1,1410|536|1|<pressed>,1,1,127494,415
11111,1,test,P,67,2,1060,440,R,0,NONE,0,1,128994,1450
11111,1,test,P,68,4,1060,640,P,1,1410|536|1|<pressed>,1,1,130494,431
11111,1,test,P,69,2,1060,440,P,1,1410|536|1|<pressed>,1,1,131994,464
11111,1,test,P,70,4,1060,640,P,1,1410|536|1|<pressed>,1,1,133494,417
11111,1,test,P,71,4,1060,640,P,1,1410|536|1|<pressed>,1,1,134995,529
11111,1,test,P,72,3,860,640,P,1,1410|536|1|<pressed>,1,1,136495,447
11111,1,test,P,73,2,1060,440,P,1,1410|536|1|<pressed>,1,1,137994,503
11111,1,test,P,74,3,860,640,P,1,1403|537|1|<pressed>,1,1,139494,647
11111,1,test,P,75,4,1060,640,P,1,1403|537|1|<pressed>,1,1,140994,414
11111,1,test,P,76,4,1060,640,P,1,1403|537|1|<pressed>,1,1,142494,481
11111,1,test,P,77,4,1060,640,P,1,1403|537|1|<pressed>,1,1,143994,630
11111,1,test,P,78,1,860,440,R,0,NONE,0,1,145494,1450
11111,1,test,P,79,2,1060,440,P,1,1403|537|1|<pressed>,1,1,146994,452
11111,1,test,P,80,1,860,440,P,1,1403|537|1|<pressed>,1,1,148494,606
11111,1,test,P,81,1,860,440,P,1,1403|537|1|<pressed>,1,1,149994,419
11111,1,test,P,82,3,860,640,P,1,1403|537|1|<pressed>,1,1,151494,398
11111,1,test,P,83,1,860,440,P,1,1403|537|1|<pressed>,1,1,152994,455
11111,1,test,P,84,2,1060,440,P,1,1403|537|1|<pressed>,1,1,154494,613
11111,1,test,P,85,3,860,640,P,1,1403|537|1|<pressed>,1,1,155994,413
11111,1,test,P,86,2,1060,440,P,1,1403|537|1|<pressed>,1,1,157494,596
11111,1,test,P,87,3,860,640,P,1,1403|537|1|<pressed>,1,1,158994,368
11111,1,test,P,88,4,1060,640,P,1,1403|537|1|<pressed>,1,1,160494,415
11111,1,test,P,89,3,860,640,R,0,1403|537|1|<pressed>,1,0,161994,380
11111,1,test,P,90,4,1060,640,R,0,NONE,0,1,163494,1450
11111,1,test,P,91,2,1060,440,P,1,1403|537|1|<pressed>,1,1,164994,471
11111,1,test,P,92,3,860,640,R,0,1403|537|1|<pressed>,1,0,166494,516
11111,1,test,P,93,3,860,640,P,1,1403|537|1|<pressed>,1,1,167994,530
11111,1,test,P,94,2,1060,440,P,1,1403|537|1|<pressed>,1,1,169494,506
11111,1,test,P,95,4,1060,640,P,1,1401|537|1|<pressed>,1,1,170994,463
11111,1,test,P,96,3,860,640,P,1,1401|537|1|<pressed>,1,1,172494,417
11111,1,test,P,97,2,1060,440,P,1,1401|537|1|<pressed>,1,1,173994,513
11111,1,test,P,98,2,1060,440,P,1,1396|538|1|<pressed>,1,1,175494,475
11111,1,test,P,99,2,1060,440,P,1,1396|538|1|<pressed>,1,1,176994,434
11111,1,test,P,100,4,1060,640,R,0,NONE,0,1,178494,1450
11111,1,test,P,101,1,860,440,P,1,1396|538|1|<pressed>,1,1,179994,563
11111,1,test,P,102,1,860,440,R,0,NONE,0,1,181494,1450
11111,1,test,P,103,2,1060,440,P,1,1396|538|1|<pressed>,1,1,182994,442
11111,1,test,P,104,2,1060,440,P,1,1396|538|1|<pressed>,1,1,184494,387
11111,1,test,P,105,3,860,640,R,0,NONE,0,1,185994,1450
11111,1,test,P,106,1,860,440,P,1,1396|538|1|<pressed>,1,1,187494,464
11111,1,test,P,107,1,860,440,P,1,1396|538|1|<pressed>,1,1,188994,490
11111,1,test,P,108,2,1060,440,P,1,1396|538|1|<pressed>,1,1,190494,497
11111,1,test,P,109,1,860,440,P,1,1396|538|1|<pressed>,1,1,191994,416
11111,1,test,P,110,3,860,640,P,1,1396|538|1|<pressed>,1,1,193494,408
11111,1,test,P,111,2,1060,440,P,1,1396|538|1|<pressed>,1,1,194994,350
11111,1,test,P,112,1,860,440,P,1,1396|538|1|<pressed>,1,1,196494,357
11111,1,test,P,113,1,860,440,P,1,1396|538|1|<pressed>,1,1,197994,339
11111,1,test,P,114,3,860,640,P,1,1396|538|1|<pressed>,1,1,199494,401
11111,1,test,P,115,2,1060,440,P,1,1396|538|1|<pressed>,1,1,200994,413
11111,1,test,P,116,3,860,640,P,1,1396|538|1|<pressed>,1,1,202494,405
11111,1,test,P,117,4,1060,640,P,1,1396|538|1|<pressed>,1,1,203994,370
11111,1,test,P,118,4,1060,640,P,1,1396|538|1|<pressed>,1,1,205494,369
11111,1,test,P,119,2,1060,440,P,1,1396|538|1|<pressed>,1,1,206994,552
11111,1,test,P,120,2,1060,440,P,1,1396|538|1|<pressed>,1,1,208494,381
11111,1,test,P,121,3,860,640,P,1,1396|538|1|<pressed>,1,1,209994,364
11111,1,test,P,122,3,860,640,P,1,1396|538|1|<pressed>,1,1,211494,447
11111,1,test,P,123,4,1060,640,P,1,1396|538|1|<pressed>,1,1,212994,380
11111,1,test,P,124,1,860,440,R,0,1396|538|1|<pressed>,1,0,214494,397
11111,1,test,P,125,1,860,440,R,0,1396|538|1|<pressed>,1,0,215994,380
11111,1,test,P,126,4,1060,640,R,0,NONE,0,1,217494,1450
11111,1,test,P,127,3,860,640,R,0,1396|538|1|<pressed>,1,0,218994,476
11111,1,test,P,128,2,1060,440,R,0,NONE,0,1,220494,1450
11111,1,test,P,129,1,860,440,R,0,NONE,0,1,221994,1450
11111,1,test,P,130,4,1060,640,P,1,1396|538|1|<pressed>,1,1,223494,586
11111,1,test,P,131,1,860,440,P,1,1396|538|1|<pressed>,1,1,224994,576
11111,1,test,P,132,1,860,440,P,1,1396|538|1|<pressed>,1,1,226494,381
11111,1,test,P,133,4,1060,640,P,1,1396|538|1|<pressed>,1,1,227994,556
11111,1,test,P,134,2,1060,440,P,1,1396|538|1|<pressed>,1,1,229494,431
11111,1,test,P,135,3,860,640,P,1,1396|538|1|<pressed>,1,1,230994,414
11111,1,test,P,136,2,1060,440,P,1,1396|538|1|<pressed>,1,1,232494,381
11111,1,test,P,137,2,1060,440,P,1,1396|538|1|<pressed>,1,1,233994,363
11111,1,test,P,138,3,860,640,P,1,1396|538|1|<pressed>,1,1,235494,365
11111,1,test,P,139,3,860,640,P,1,1396|538|1|<pressed>,1,1,236994,320
11111,1,test,P,140,2,1060,440,P,1,1396|538|1|<pressed>,1,1,238494,327
11111,1,test,P,141,1,860,440,P,1,1396|538|1|<pressed>,1,1,239994,342
11111,1,test,P,142,1,860,440,P,1,1396|538|1|<pressed>,1,1,241494,417
11111,1,test,P,143,2,1060,440,P,1,1396|538|1|<pressed>,1,1,242994,313
11111,1,test,P,144,1,860,440,P,1,1396|538|1|<pressed>,1,1,244494,351
