subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
111,2,145,1,20,4,1,1,215904,1163
111,2,146,1,20,3.75,-1,0,217673,615
111,2,147,1,50,6.25,-1,1,218894,594
111,2,148,1,20,4.75,1,1,220099,1129
111,2,149,1,100,9.75,1,1,221835,490
111,2,150,1,50,6,-1,1,222943,704
111,2,151,1,50,5.75,1,1,224257,834
111,2,152,1,6,2.25,1,1,225700,762
111,2,153,1,6,2,1,1,227067,1363
111,2,154,1,50,5.5,1,1,229037,595
111,2,155,1,100,9.5,1,1,230243,572
111,2,156,1,50,5.25,1,1,231432,850
111,2,157,1,50,5,1,0,232892,960
111,2,158,1,6,1.75,-1,1,234461,791
111,2,159,1,20,4.5,1,1,235858,817
111,2,160,1,20,4.25,1,1,237282,603
111,2,161,1,6,1.5,1,1,238492,820
111,2,162,1,6,1.25,1,0,239917,879
111,2,163,1,50,6,-1,0,241402,529
111,2,164,1,20,4,1,1,242540,754
111,2,165,1,50,7,-1,0,243900,455
111,2,166,1,20,3.75,-1,1,244961,753
111,2,167,1,20,3.5,-1,1,246320,1909
111,2,168,1,6,2.25,-1,0,248837,2171
111,2,169,1,100,9.25,-1,1,251616,758
111,2,170,1,100,9,-1,0,252990,1301
111,2,171,1,6,3.25,-1,1,254907,716
111,2,172,1,6,3,1,1,256228,884
111,2,173,1,20,3.25,1,1,257717,857
111,2,174,1,20,3,1,0,259180,796
111,2,175,1,20,4,-1,1,260580,489
111,2,176,1,20,3.75,1,1,261673,54
111,2,177,1,100,10,-1,0,262335,5
111,2,178,1,100,11,1,0,262962,904
111,2,179,1,20,3.5,-1,1,264483,660
111,2,180,1,20,3.25,1,1,265748,602
111,2,181,1,6,2.75,-1,1,266956,836
111,2,182,1,20,3,-1,1,268397,1348
111,2,183,1,100,12,1,1,270350,1002
111,2,184,1,100,11.75,-1,0,271967,1054
111,2,185,1,6,2.5,-1,1,273636,1274
111,2,186,1,100,12.75,-1,0,275515,535
111,2,187,1,20,2.75,-1,1,276666,815
111,2,188,1,50,8,1,1,278087,610
111,2,189,1,50,7.75,1,1,279307,1059
111,2,190,1,6,2.25,-1,1,280974,844
111,2,191,1,100,13.75,1,1,282424,693
111,2,192,1,6,2,1,1,283730,1840
111,2,193,1,100,13.5,1,0,286178,1221
111,2,194,1,20,2.5,1,0,288015,1263
111,2,195,1,50,7.5,-1,0,289884,938
111,2,196,1,50,8.5,-1,0,291433,732
111,2,197,1,100,14.5,1,1,292773,725
111,2,198,1,6,1.75,1,1,294108,2325
111,2,199,1,50,9.5,-1,1,297040,622
111,2,200,1,100,14.25,1,1,298271,1004
111,3,201,1,100,9.75,-1,0,327045,818
111,3,202,1,100,10.75,1,0,328479,1101
111,3,203,1,6,2.25,1,1,330190,1004
111,3,204,1,50,6,-1,1,331801,560
111,3,205,1,50,5.75,-1,1,332971,547
111,3,206,1,20,4,-1,1,334129,648
111,3,207,1,20,3.75,1,1,335383,513
111,3,208,1,100,11.75,1,0,336502,491
111,3,209,1,50,5.5,-1,1,337608,560
111,3,210,1,6,2,1,1,338779,754
111,3,211,1,50,5.25,1,1,340139,583
111,3,212,1,20,3.5,-1,1,341329,493
111,3,213,1,6,1.75,1,1,342426,620
111,3,214,1,20,3.25,1,1,343653,708
111,3,215,1,20,3,-1,1,344967,540
111,3,216,1,20,2.75,1,1,346114,712
111,3,217,1,6,1.5,1,1,347432,763
111,3,218,1,100,12.75,1,1,348804,833
111,3,219,1,20,2.5,-1,0,350247,697
111,3,220,1,50,5,1,1,351551,531
111,3,221,1,50,4.75,1,0,352687,529
111,3,222,1,6,1.25,-1,0,353820,913
111,3,223,1,50,5.75,1,1,355340,749
111,3,224,1,100,12.5,1,1,356701,516
111,3,225,1,6,2.25,-1,1,357836,540
111,3,226,1,20,3.5,1,0,358982,588
111,3,227,1,100,12.25,-1,1,360178,749
111,3,228,1,20,4.5,-1,1,361543,655
111,3,229,1,100,12,1,0,362806,615
111,3,230,1,50,5.5,1,1,364038,789
