gSubNum,block,type,try,successes,rule,lastrule,curid,currentval,correct,matchColor,matchLetter,matchShape,matchLast,curcolor,curletter,curshape,targcolor,targletter,targshape,clickcolor,clickletter,clickshapetargx,targx,targy,targid,corsum,incsum,time,rt
toeuhth,0,0,1,0,color,NA,1,1,0,0,0,0,NA,orange,W,circle,orange,W,circle,skyblue,J,plus,1095.85,561.233,4,0,1,4897,-1
toeuhth,0,0,2,0,color,NA,1,1,0,0,0,0,NA,orange,W,circle,orange,W,circle,red,J,ellipse,1040.84,626.641,9,0,2,5355,-1
