subnum,trial,config,c1,c2,c3,c4,sampleprob,rainprob,prob2,time,rt,resp,outcome,correct
onue,1,M,1,1,0,1,0.032,0.57,0.57,5424,1261,<rshift>,0,1
onue,2,B,0,0,1,0,0.084,0.38,0.38,7692,317,<lshift>,1,1
onue,3,L,1,1,0,0,0.087,0.9,0.9,9012,159,<rshift>,1,0
