subnum,trial,starttime,number,isodd,resp,corr,rt
20,1,5796,609,1,<lshift>,1,447
20,2,6748,131,1,<lshift>,1,495
20,3,7749,962,0,<rshift>,1,583
20,4,8837,612,0,<rshift>,1,470
20,5,9812,313,1,<lshift>,1,455
20,6,10772,721,1,<lshift>,1,471
20,7,11748,782,0,<lshift>,0,543
20,8,12796,417,1,<rshift>,0,591
20,9,13893,360,0,<rshift>,1,966
20,10,15364,474,0,<rshift>,1,951
