subnum,maze,shortestpath,totalmoves,pathlength,planningtime,firstmovetime,solutiontime,totaltime,moveseq,bestseq
6116,PRACTICE,9,9,9,3453,7832,1652,9484,1|2|3|4|9|14|15|20|25,1|2|3|4|9|14|15|20|25
6116,PRACTICE,9,10,9,492,665,1267,1932,1|2|3|4|9|14|15|20|25,1|2|3|4|9|14|15|20|25
