subnum,trial,trial_type,correct1,correct2,response1,response2,num_correct,both_correct,start_time,complete_time,rt,timestamp
6116,p1,practice,1,3,2,1,1,0,3244,5343,2099,Thu Nov  6 09:51:20 2025
6116,p2,practice,2,3,1,2,1,0,7625,9292,1667,Thu Nov  6 09:51:24 2025
6116,p3,practice,1,4,2,1,1,0,10311,11511,1200,Thu Nov  6 09:51:26 2025
6116,p4,practice,1,3,2,1,1,0,12554,13694,1140,Thu Nov  6 09:51:28 2025
6116,p4,practice,1,3,2,1,1,0,17550,26766,9216,Thu Nov  6 09:51:41 2025
6116,p4,practice,1,3,2,3,1,0,3994,13440,9446,Thu Nov  6 10:39:31 2025
6116,t1,test,1,3,2,3,1,0,13446,16098,2652,Thu Nov  6 10:39:34 2025
6116,t2,test,1,4,NA,NA,0,0,16105,18974,2869,Thu Nov  6 10:39:37 2025
6116,t11,test,3,4,2,1,0,0,22980,28206,5226,Thu Nov  6 10:39:46 2025
6116,t12,test,2,3,3,2,2,1,28213,30216,2003,Thu Nov  6 10:39:48 2025
