sub,trial,domhand,hand,tap,sumtime,trialtime,rt
11616,1,Right,Right,1,20,20,20
11616,1,Right,Right,2,172,173,152
11616,1,Right,Right,3,317,319,145
11616,1,Right,Right,4,467,471,150
11616,1,Right,Right,5,629,634,162
11616,1,Right,Right,6,780,786,151
11616,1,Right,Right,7,1235,1242,455
11616,1,Right,Right,8,1395,1403,160
11616,1,Right,Right,9,1546,1555,151
11616,1,Right,Right,10,1710,1719,164
11616,1,Right,Right,11,1874,1884,164
11616,1,Right,Right,12,2037,2048,163
11616,1,Right,Right,13,2182,2194,145
11616,1,Right,Right,14,2344,2357,162
11616,1,Right,Right,15,2658,2674,314
11616,1,Right,Right,16,2793,2810,135
11616,1,Right,Right,17,2928,2946,135
11616,1,Right,Right,18,3077,3096,149
11616,1,Right,Right,19,3219,3239,142
11616,1,Right,Right,20,3522,3543,303
11616,1,Right,Right,21,3673,3695,151
11616,1,Right,Right,22,3976,3999,303
11616,1,Right,Right,23,4293,4317,317
11616,1,Right,Right,24,4452,4477,159
11616,1,Right,Right,25,4616,4642,164
11616,1,Right,Right,26,4774,4801,158
11616,1,Right,Right,27,4919,4954,145
11616,1,Right,Right,28,4970,5006,51
11616,1,Left,Right,1,122,122,122
11616,1,Left,Right,2,300,303,178
11616,1,Left,Right,3,484,491,184
11616,1,Left,Right,4,690,702,206
11616,1,Left,Right,5,872,891,182
11616,1,Left,Right,6,1068,1088,196
11616,1,Left,Right,7,1251,1274,183
11616,1,Left,Right,8,1443,1469,192
11616,1,Left,Right,9,1659,1687,216
11616,1,Left,Right,10,1845,1875,186
11616,1,Left,Right,11,2037,2071,192
11616,1,Left,Right,12,2229,2265,192
11616,1,Left,Right,13,2412,2450,183
11616,1,Left,Right,14,2812,2850,400
11616,1,Left,Right,15,2998,3038,186
11616,1,Left,Right,16,3182,3224,184
11616,1,Left,Right,17,3569,3612,387
11616,1,Left,Right,18,3767,3812,198
11616,1,Left,Right,19,3958,4007,191
11616,1,Left,Right,20,4141,4192,183
11616,1,Left,Right,21,4327,4380,186
11616,1,Left,Right,22,4526,4580,199
11616,1,Left,Right,23,4908,4964,382
11616,1,Left,Right,24,4959,5016,51
