subNum,block,trial,time0,delay,delay2,rt,resp1,resp2
eouao,1,1,2029,500,500,558,NO_RESPONSE,response
eouao,1,2,3237,2000,2001,386,NO_RESPONSE,response
eouao,1,3,5775,1250,1251,364,NO_RESPONSE,response
eouao,1,4,7540,1500,1501,278,NO_RESPONSE,response
eouao,1,5,9469,2500,1646,404,response,response
eouao,1,6,12523,250,251,1671,NO_RESPONSE,response
