subnum,trial,abstime,prestime,delay,size,same,resp,corr,rt
111,1,78658,300,1000,8,1,right,1,771
111,2,83186,300,1000,1,0,left,1,760
111,3,87756,300,1000,2,0,left,1,802
111,4,92925,300,1000,12,0,right,0,1276
