_aeuaoe,P1,num,4,4,1,2,885,290,2,1,2,1,853
_aeuaoe,P1,num,4,4,1,3,960,290,3,2,3,1,1249
_aeuaoe,P1,num,4,4,1,4,1035,290,4,3,4,1,1756
_aeuaoe,P1,num,4,4,2,4,1035,365,8,4,5,1,2176
_aeuaoe,P1,num,4,4,2,2,960,365,6,5,6,0,3142
_aeuaoe,P1,num,4,4,2,1,960,365,5,6,6,0,3595
_aeuaoe,P1,num,4,4,2,3,960,365,7,7,6,1,4698
_aeuaoe,P1,num,4,4,2,2,885,365,6,8,7,1,5242
_aeuaoe,P1,num,4,4,2,1,810,365,5,9,8,1,5629
_aeuaoe,P1,num,4,4,3,2,885,440,10,10,9,1,6291
_aeuaoe,P1,num,4,4,3,1,810,440,9,11,10,1,6668
_aeuaoe,P1,num,4,4,4,1,810,515,13,12,11,1,7156
_aeuaoe,P1,num,4,4,4,2,885,515,14,13,12,1,7513
_aeuaoe,P1,num,4,4,4,3,960,515,15,14,13,1,8074
_aeuaoe,P1,num,4,4,3,3,960,440,11,15,14,1,8849
_aeuaoe,P1,num,4,4,3,4,1035,440,12,16,15,1,9210
_aeuaoe,P1,num,4,4,4,4,1035,515,16,17,16,1,9643
_aeuaoe,P2,numletter,4,4,2,1,810,365,5,1,2,1,855
_aeuaoe,P2,numletter,4,4,3,1,810,440,9,2,3,1,1331
_aeuaoe,P2,numletter,4,4,4,1,810,515,13,3,4,1,1756
_aeuaoe,P2,numletter,4,4,3,2,885,440,10,4,5,1,2382
_aeuaoe,P2,numletter,4,4,2,2,885,365,6,5,6,1,2842
_aeuaoe,P2,numletter,4,4,1,2,885,290,2,6,7,1,3293
_aeuaoe,P2,numletter,4,4,2,3,960,365,7,7,8,1,3775
_aeuaoe,P2,numletter,4,4,1,3,960,290,3,8,9,1,4113
_aeuaoe,P2,numletter,4,4,1,4,1035,290,4,9,10,1,4583
_aeuaoe,P2,numletter,4,4,2,4,1035,365,8,10,11,1,4984
_aeuaoe,P2,numletter,4,4,3,4,1035,440,12,11,12,1,5403
_aeuaoe,P2,numletter,4,4,3,3,960,440,11,12,13,1,5865
_aeuaoe,P2,numletter,4,4,4,2,885,515,14,13,14,1,6268
_aeuaoe,P2,numletter,4,4,4,3,960,515,15,14,15,1,6614
_aeuaoe,P2,numletter,4,4,4,4,1035,515,16,15,16,1,6965
