subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
51,practice,0,0,1,6,-1,0,3000,1
51,practice,0,-1,2,4,<lshift>,1,1295,0
51,practice,0,1,3,3,<rshift>,1,712,0
51,practice,0,-1,4,2,<rshift>,1,934,0
