subnum,trial,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
111,1P,1,1,1,11382,849,463,1,1,1240,1240
111,1P,1,2,2,12082,1059,483,1,2,700,700
111,1P,1,3,3,12905,933,557,1,3,823,823
111,1P,1,4,4,13304,972,471,1,4,399,399
111,1,1,1,1,16447,1037,573,1,1,1409,1409
111,1,1,2,2,17167,941,648,1,2,720,720
111,1,1,3,3,17664,1059,674,1,3,497,497
111,1,1,4,4,19747,1072,449,1,4,2083,2083
111,1,1,5,5,20881,905,469,1,5,1134,1134
111,1,1,6,6,21527,1010,530,1,6,646,646
111,1,1,7,7,22117,904,582,1,7,590,590
111,1,1,8,8,22764,829,678,1,8,647,647
111,1,1,9,9,23150,845,731,1,9,386,386
111,1,1,10,10,23814,892,659,1,10,664,664
111,1,1,11,11,24367,1015,750,1,11,553,553
111,1,1,12,12,25114,754,769,1,12,747,747
111,1,1,13,13,25948,814,518,1,13,834,834
111,1,1,15,14,26965,763,619,1,14,1017,1017
111,1,1,16,15,27960,776,300,1,15,995,995
111,1,1,17,16,28543,824,393,1,16,583,583
111,1,1,18,17,28965,968,282,1,17,422,422
111,1,1,19,18,29915,943,408,1,18,950,950
111,1,1,20,19,30743,1095,342,1,19,828,828
111,1,1,21,20,31347,1005,331,1,20,604,604
111,1,1,22,21,31855,1123,282,1,21,508,508
111,1,1,23,22,32431,1112,448,1,22,576,576
111,1,1,24,23,34314,1141,781,1,23,1883,1883
111,1,1,25,24,34992,1097,570,1,24,678,678
111,1,1,26,25,35898,1085,761,1,25,906,906
