subnum,trial,config,c1,c2,c3,c4,sampleprob,rainprob,prob2,time,rt,resp,outcome,correct
1616,1,N,1,1,1,0,0.041,0.79,0.79,14542,2036,<lshift>,1,1
1616,2,B,0,0,1,0,0.084,0.38,0.38,17589,326,<lshift>,0,0
