subnum,trial,trial_type,correct1,correct2,response1,response2,num_correct,both_correct,start_time,complete_time,rt,timestamp
55151,p1,practice,1,3,2,1,1,0,3136,4873,1737,Tue Nov  4 14:43:31 2025
55151,p2,practice,2,3,2,3,2,1,7643,8742,1099,Tue Nov  4 14:43:35 2025
55151,p3,practice,1,4,2,3,0,0,9778,10974,1196,Tue Nov  4 14:43:38 2025
55151,p4,practice,1,3,2,1,1,0,12009,13767,1758,Tue Nov  4 14:43:40 2025
55151,p4,practice,1,3,2,3,1,0,20441,27734,7293,Tue Nov  4 14:43:54 2025
55151,t1,test,1,3,2,1,1,0,27767,29103,1336,Tue Nov  4 14:43:56 2025
55151,t2,test,1,4,2,3,0,0,29135,30345,1210,Tue Nov  4 14:43:57 2025
55151,t3,test,2,4,3,2,1,0,30379,31722,1343,Tue Nov  4 14:43:58 2025
55151,t4,test,2,3,2,1,1,0,31735,33023,1288,Tue Nov  4 14:44:00 2025
55151,t5,test,1,3,2,3,1,0,33034,34452,1418,Tue Nov  4 14:44:01 2025
55151,t6,test,1,4,1,2,1,0,34461,35744,1283,Tue Nov  4 14:44:02 2025
55151,t7,test,2,4,3,2,1,0,35777,37109,1332,Tue Nov  4 14:44:04 2025
55151,t8,test,2,3,2,3,2,1,37141,38337,1196,Tue Nov  4 14:44:05 2025
55151,t9,test,2,4,1,2,1,0,38355,39684,1329,Tue Nov  4 14:44:06 2025
55151,t10,test,1,4,2,1,1,0,39694,41363,1669,Tue Nov  4 14:44:08 2025
55151,t11,test,3,4,2,3,1,0,51587,53497,1910,Tue Nov  4 14:44:20 2025
55151,t12,test,2,3,1,2,1,0,53509,54646,1137,Tue Nov  4 14:44:21 2025
55151,t13,test,1,2,2,3,1,0,54658,56321,1663,Tue Nov  4 14:44:23 2025
55151,t14,test,2,4,1,2,1,0,56334,57494,1160,Tue Nov  4 14:44:24 2025
55151,t15,test,2,3,1,2,1,0,57519,58527,1008,Tue Nov  4 14:44:25 2025
55151,t16,test,1,4,2,3,0,0,58540,59760,1220,Tue Nov  4 14:44:26 2025
55151,t17,test,2,4,2,1,1,0,59781,61069,1288,Tue Nov  4 14:44:28 2025
55151,t18,test,2,3,2,3,2,1,61097,62355,1258,Tue Nov  4 14:44:29 2025
55151,t19,test,1,3,2,1,1,0,62365,63596,1231,Tue Nov  4 14:44:30 2025
55151,t20,test,1,4,2,3,0,0,63605,64816,1211,Tue Nov  4 14:44:31 2025
