subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
1313131,87,PEACEFUL,8,216176,0,PEACEFUL,939,1528,1,10,1
1313131,88,FRONTIER,8,218982,0,FRONTIER,673,2122,1,10,1
1313131,89,DNEIAIFY,8,222827,1,DNEIAIFY,1492,2345,1,8,0
1313131,90,DISSOLVE,8,226298,0,DISSOLVE,662,2800,1,16,4
1313131,91,DNEIAIFY,8,229324,1,DNEIAIFY,771,2245,1,10,1
1313131,92,DNEIAIFY,8,232283,1,DNEIAIFY,507,2444,1,8,0
1313131,93,CHAIRMAN,8,234635,0,CHAIRMAN,1374,970,1,8,0
1313131,94,CONCLUDE,8,238179,0,CONCLUDE,1326,2209,1,12,2
1313131,95,MOUNTAIN,8,240577,0,MOUNTAIN,1347,1041,1,8,0
1313131,96,DNEIAIFY,8,243069,1,DNEIAIFY,692,1789,1,8,0
1313131,97,LAUGHTER,8,247003,0,LAUGHTER,1569,2356,1,12,2
1313131,98,DNEIAIFY,8,249640,1,DNEIAIFY,1164,1461,1,8,0
1313131,99,DNEIAIFY,8,252442,1,DNEIAIFY,897,1895,1,8,0
1313131,100,WEAKNESS,8,254738,0,WEAKNESS,748,1537,1,8,0
1313131,101,STRUGGLE,8,257053,0,STRUGGLE,1028,1279,1,8,0
1313131,102,GRATEFUL,8,259062,0,GRATEFUL,756,1242,1,8,0
1313131,103,DNEIAIFY,8,261392,1,DNEIAIFY,687,1633,1,8,0
1313131,104,DNEIAIFY,8,263999,1,DNEIAIFY,925,1674,1,8,0
1313131,105,BOUNDARY,8,265936,0,BOUNDARY,1208,723,1,8,0
1313131,106,PRECIOUS,8,268657,0,PRECIOUS,1267,1446,1,8,0
1313131,107,DNEIAIFY,8,271257,1,DNEIAIFY,1039,1551,1,8,0
1313131,108,DNEIAIFY,8,273757,1,DNEIAIFY,692,1799,1,8,0
1313131,109,DNEIAIFY,8,276169,1,DNEIAIFY,623,1779,1,8,0
1313131,110,CLOTHING,8,278345,0,CLOTHING,1159,1009,1,8,0
1313131,111,DNEIAIFY,8,280670,1,DNEIAIFY,723,1591,1,8,0
1313131,112,DNEIAIFY,8,283532,1,DNEIAIFY,901,1954,1,8,0
1313131,113,DNEIAIFY,8,287042,1,DNEIAFY,1663,1839,0,7,0
1313131,114,DNEIAIFY,8,289156,1,DNEIAIFY,735,1374,1,8,0
1313131,115,FOOTBALL,8,291029,0,FOOTBALL,721,1143,1,8,0
