subnum,trial,targ,foil,time,delay,resp,corr,mask,presstart,respend,prestime,rt
2626,1,b,n,7533,270,<timeout>,0,#*@,7734,9605,270,1500
2626,2,c,n,9608,260,<timeout>,0,?@&,9809,11670,260,1500
2626,3,b,s,11672,140,<timeout>,0,@\#,11872,13614,140,1500
2626,4,c,s,13673,228,<timeout>,0,@#*,13873,15703,228,1501
2626,5,s,n,15705,160,<timeout>,0,?$\,15906,17668,160,1501
2626,6,s,b,17706,150,<timeout>,0,*$#,17907,19660,151,1500
2626,7,b,n,19707,111,<timeout>,0,|#$,19908,21621,111,1500
2626,8,q,g,21708,186,<timeout>,0,&/#,21908,23695,186,1500
2626,9,n,s,23709,280,<timeout>,0,&\*,23909,25791,280,1500
2626,10,b,s,25794,115,<timeout>,0,/#&,25994,27710,115,1500
2626,11,q,b,27795,152,<timeout>,0,\/*,27996,29750,152,1500
2626,12,q,b,29796,275,<timeout>,0,$\?,29996,31873,276,1500
2626,13,g,s,31875,150,<timeout>,0,%$?,32076,33827,150,1500
2626,14,q,s,33876,150,<timeout>,0,&@$,34076,35827,150,1500
2626,15,n,s,35877,104,<timeout>,0,$?%,36078,37784,105,1500
2626,16,b,q,37878,152,<timeout>,0,&*|,38079,39833,153,1500
2626,17,c,s,39879,132,<timeout>,0,*|&,40080,41815,132,1500
2626,18,g,c,41880,293,<timeout>,0,*/\,42080,43975,293,1500
2626,19,b,q,43978,200,<timeout>,0,%&$,44178,45979,200,1500
2626,20,c,g,45982,256,<timeout>,0,|%&,46183,48041,257,1500
2626,21,c,s,48043,230,<timeout>,0,/%?,48244,50075,230,1500
2626,22,g,s,50078,197,<timeout>,0,/$|,50279,52078,198,1500
2626,23,b,n,52082,171,<timeout>,0,&|#,52283,54055,171,1500
2626,24,g,n,54083,281,<timeout>,0,$&?,54283,56165,281,1500
2626,25,q,s,56168,159,<timeout>,0,#$@,56369,58129,159,1500
2626,26,q,n,58169,254,<timeout>,0,#|%,58370,60226,254,1501
2626,27,c,b,60229,294,<timeout>,0,*@$,60430,62325,294,1500
2626,28,g,n,62327,167,<timeout>,0,#\/,62528,64296,167,1500
2626,29,s,g,64328,217,<timeout>,0,&*@,64528,66346,217,1500
2626,30,g,s,66348,168,<timeout>,0,@\%,66549,68318,168,1500
2626,31,b,q,68349,299,<timeout>,0,&*$,68550,70450,299,1500
2626,32,n,s,70452,249,left,0,$?%,70653,71692,249,688
2626,33,n,c,72453,237,right,1,#|&,72654,73639,238,645
2626,34,n,q,74454,172,left,1,|*/,74655,75562,172,634
2626,35,c,g,76455,272,right,1,\/*,76656,77549,272,519
2626,36,g,c,78456,101,right,1,&\|,78657,79427,101,568
2626,37,s,q,80457,130,left,1,*&\,80658,81443,131,553
2626,38,c,q,82458,170,<timeout>,0,$|*,82658,84430,170,1500
