sub,trial,domhand,hand,tap,sumtime,trialtime,rt
1161,1,Right,Left,1,122,122,122
1161,1,Right,Left,2,321,322,199
1161,1,Right,Left,3,517,518,196
1161,1,Right,Left,4,714,716,197
1161,1,Right,Left,5,909,913,195
1161,1,Right,Left,6,1099,1104,190
1161,1,Right,Left,7,1292,1297,193
1161,1,Right,Left,8,1682,1688,390
1161,1,Right,Left,9,1877,1884,195
1161,1,Right,Left,10,2063,2071,186
1161,1,Right,Left,11,2258,2267,195
1161,1,Right,Left,12,2664,2674,406
1161,1,Right,Left,13,2858,2869,194
1161,1,Right,Left,14,3279,3291,421
1161,1,Right,Left,15,3477,3490,198
1161,1,Right,Left,16,3672,3686,195
1161,1,Right,Left,17,3883,3898,211
1161,1,Right,Left,18,4076,4092,193
1161,1,Right,Left,19,4300,4317,224
1161,1,Right,Left,20,4507,4525,207
1161,1,Right,Left,21,4715,4733,208
1161,1,Right,Left,22,5025,5044,310
