subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
342,1,COTJRHAP,8,42587,1,COTJRHAP,488,2494,1,12,2
342,2,COTJRHAP,8,45050,1,COTJRHAP,691,1767,1,8,0
342,3,COTJRHAP,8,47026,1,COTJRHAP,558,1416,1,8,0
342,4,CONCEIVE,8,48858,0,CONCEIVE,682,1147,1,8,0
342,5,PRESSURE,8,50612,0,PRESSURE,781,967,1,8,0
342,6,COTJRHAP,8,52875,1,COTJRHAP,688,1567,1,8,0
342,7,COTJRHAP,8,55206,1,COTJRHAP,540,1782,1,8,0
342,8,COTJRHAP,8,57806,1,COTJRHAP,881,1710,1,8,0
342,9,COTJRHAP,8,59878,1,COTJRHAP,576,1492,1,8,0
342,10,PEACEFUL,8,61861,0,PEACEFUL,716,1258,1,8,0
342,11,FRONTIER,8,63620,0,FRONTIER,721,1035,1,8,0
342,12,COTJRHAP,8,66001,1,COTJRHAP,745,1627,1,8,0
342,13,APPROACH,8,68962,0,APPROACH,1860,1093,1,8,0
342,14,DREADFUL,8,71881,0,DREADFUL,621,2289,1,12,2
342,15,BOUNDARY,8,73739,0,BOUNDARY,938,911,1,8,0
342,16,COTJRHAP,8,75845,1,COTJRHAP,684,1411,1,8,0
342,17,COTJRHAP,8,78058,1,COTJRHP,669,1535,0,7,0
342,18,GRACIOUS,8,81873,0,GRACIOUS,812,2995,1,14,3
342,19,COTJRHAP,8,84616,1,COTJRHAP,664,2070,1,10,1
342,20,COTJRHAP,8,86953,1,COTJRHAP,649,1679,1,8,0
342,21,COTJRHAP,8,89783,1,COTJRHAP,670,2151,1,8,0
342,22,CONTENTS,8,91498,0,CONTENTS,662,1044,1,8,0
342,23,COTJRHAP,8,93489,1,COTJRHAP,640,1342,1,8,0
342,24,CONTRACT,8,95272,0,CONTRACT,703,1071,1,8,0
342,25,COTJRHAP,8,97260,1,COTJRHAP,573,1405,1,8,0
342,26,PROSPECT,8,99917,0,PROSPECT,838,1809,1,8,0
342,27,PROVINCE,8,101886,0,PROVINCE,808,1151,1,8,0
342,28,PLEASURE,8,103663,0,PLEASURE,718,1049,1,8,0
342,29,COTJRHAP,8,105660,1,COTJRHAP,620,1372,1,8,0
342,30,HELPLESS,8,107566,0,HELPLESS,787,1111,1,8,0
342,31,PERCEIVE,8,109932,0,PERCEIVE,669,1688,1,8,0
342,32,FRIENDLY,8,112365,0,FRIENDLY,882,1548,1,8,0
342,33,COTJRHAP,8,114657,1,COTJRHAP,613,1668,1,8,0
342,34,SPRINKLE,8,117565,0,SPRINKLE,810,2090,1,10,1
342,35,COTJRHAP,8,119597,1,COTJRHAP,654,1367,1,8,0
342,36,COTJRHAP,8,122626,1,COTJRHAP,748,2271,1,8,0
342,37,MAINTAIN,8,124436,0,MAINTAIN,769,1031,1,8,0
342,38,MARRIAGE,8,127145,0,MARRIAGE,797,1903,1,10,1
342,39,COTJRHAP,8,129162,1,COTJRHAP,688,1318,1,8,0
342,40,PROMPTLY,8,131337,0,PROMPTLY,728,1437,1,8,0
342,41,COTJRHAP,8,133199,1,COTJRHAP,598,1253,1,8,0
342,42,COTJRHAP,8,135091,1,COTJRHAP,574,1309,1,8,0
342,43,CONDENSE,8,136945,0,CONDENSE,666,1180,1,8,0
342,44,WRETCHED,8,139301,0,WRETCHED,614,1733,1,10,1
342,45,COTJRHAP,8,141290,1,COTJRHAP,675,1306,1,8,0
342,46,MOISTURE,8,143891,0,MOISTURE,682,1913,1,8,0
342,47,DARKNESS,8,145952,0,DARKNESS,754,1298,1,8,0
342,48,COTJRHAP,8,147897,1,COTJRHAP,566,1371,1,8,0
342,49,COMPLETE,8,149992,0,COMPLETE,798,1286,1,8,0
342,50,NORTHERN,8,151822,0,NORTHERN,738,1083,1,8,0
342,51,CONCLUDE,8,153316,0,CONCLUDE,575,910,1,8,0
342,52,HANDSOME,8,155369,0,HANDSOME,796,1246,1,8,0
342,53,COTJRHAP,8,157382,1,COTJRHAP,632,1373,1,8,0
342,54,COTJRHAP,8,160324,1,COTJRHAP,613,2321,1,10,1
342,55,COTJRHAP,8,162980,1,COTJRHAP,1017,1630,1,8,0
342,56,COTJRHAP,8,165709,1,COTJRHAP,568,2153,1,10,1
342,57,COTJRHAP,8,167936,1,COTJRHAP,622,1594,1,8,0
342,58,RESEARCH,8,169627,0,RESEARCH,693,989,1,8,0
342,59,DAYLIGHT,8,171472,0,DAYLIGHT,708,1126,1,8,0
342,60,SENTENCE,8,173021,0,SENTENCE,651,894,1,8,0
342,61,ALTHOUGH,8,174597,0,ALTHOUGH,667,899,1,8,0
342,62,GRATEFUL,8,176919,0,GRATEFUL,629,1685,1,10,1
342,63,COTJRHAP,8,179058,1,COTJRHAP,655,1473,1,8,0
342,64,CHARMING,8,180965,0,CHARMING,649,1250,1,8,0
342,65,COTJRHAP,8,183844,1,COTJRHAP,560,2309,1,10,1
342,66,COTJRHAP,8,186858,1,COTJRHAP,802,2205,1,10,1
342,67,LIKEWISE,8,188790,0,LIKEWISE,713,1207,1,8,0
342,68,COMMENCE,8,190409,0,COMMENCE,658,957,1,8,0
342,69,COTJRHAP,8,193502,1,COTJRHAP,620,2461,1,10,1
342,70,PAINTING,8,195255,0,PAINTING,715,1025,1,8,0
342,71,COTJRHAP,8,197715,1,COTJRHAP,599,1853,1,8,0
342,72,PRECIOUS,8,199726,0,PRECIOUS,808,1200,1,8,0
342,73,COTJRHAP,8,202545,1,COTJRHAP,637,2176,1,10,1
342,74,COTJRHAP,8,205770,1,COTJRHAP,664,2551,1,12,2
342,75,COTJRHAP,8,208069,1,COTJRHAP,832,1459,1,8,0
342,76,COTJRHAP,8,212161,1,COTJRHAP,639,3444,1,12,2
342,77,COTJRHAP,8,215149,1,COTJRHAP,1066,1914,1,8,0
342,78,COTJRHAP,8,217825,1,COTJRHAP,1033,1635,1,8,0
342,79,MERCHANT,8,220598,0,MERCHANCT,1025,1741,0,9,0
342,80,FIERCELY,8,223235,0,FIERCELY,1098,1530,1,8,0
342,81,COTJRHAP,8,225399,1,COTJRHAP,714,1440,1,8,0
342,82,COTJRHAP,8,227441,1,COTJRHAP,593,1439,1,8,0
342,83,YOUTHFUL,8,229556,0,YOUTHFUL,909,1197,1,8,0
342,84,COTJRHAP,8,231523,1,COTJRHAP,638,1320,1,8,0
342,85,BUSINESS,8,233453,0,BUSINESS,745,1175,1,8,0
342,86,PLEASURE,8,235044,0,PLEASURE,718,864,1,8,0
342,87,MAINTAIN,8,236627,0,MAINTAIN,649,923,1,8,0
342,88,CONTENTS,8,238104,0,CONTENTS,611,856,1,8,0
342,89,COTJRHAP,8,240714,1,COTJRHAP,687,1913,1,8,0
342,90,COTJRHAP,8,244173,1,COTJRHP,701,2748,0,13,3
342,91,COTJRHAP,8,246475,1,COTJRHAP,692,1605,1,8,0
342,92,CLOTHING,8,248529,0,CLOTHING,667,1383,1,8,0
342,93,NORTHERN,8,250822,0,NORTHERN,720,1564,1,8,0
342,94,COTJRHAP,8,253125,1,COTJRHAP,805,1495,1,8,0
342,95,SPLENDID,8,255190,0,SPLENDID,664,1389,1,8,0
342,96,COTJRHAP,8,257297,1,COTJRHAP,728,1370,1,8,0
342,97,COTJRHAP,8,260067,1,COTJRHAP,663,2098,1,8,0
342,98,COTJRHAP,8,262534,1,COTJRHAP,786,1676,1,8,0
342,99,APPROACH,8,264954,0,APPROACH,714,1696,1,10,1
342,100,COTJRHAP,8,266991,1,COTJRHAP,649,1377,1,8,0
342,101,RESTLESS,8,269310,0,RESTLESS,855,1455,1,8,0
342,102,CARRIAGE,8,270994,0,CARRIAGE,609,1070,1,8,0
342,103,COTJRHAP,8,274020,1,COTJRHAP,647,2371,1,10,1
342,104,SHEPHERD,8,276707,0,SHEPHERD,683,2000,1,10,1
342,105,COTJRHAP,8,278731,1,COTJRHAP,711,1303,1,8,0
342,106,COTJRHAP,8,280754,1,COTJRHAP,645,1369,1,8,0
342,107,SPRINKLE,8,282664,0,SPRINKLE,696,1205,1,8,0
342,108,CONTRAST,8,284422,0,CONTRAST,683,1065,1,8,0
342,109,CHAIRMAN,8,286117,0,CHAIRMAN,666,1023,1,8,0
342,110,PROCLAIM,8,289085,0,PROCLAIM,767,2194,1,12,2
342,111,COTJRHAP,8,291147,1,COTJRHAP,633,1420,1,8,0
342,112,LIKEWISE,8,293047,0,LIKEWISE,748,1142,1,8,0
342,113,SANDWICH,8,296333,0,SANDWICH,786,2490,1,16,4
342,114,COTJRHAP,8,298225,1,COTJRHAP,678,1206,1,8,0
342,115,LANGUAGE,8,299728,0,LANGUAGE,647,845,1,8,0
342,116,COTJRHAP,8,301731,1,COTJRHAP,577,1418,1,8,0
342,117,COTJRHAP,8,304580,1,COTJRHAP,575,2266,1,10,1
342,118,COTJRHAP,8,307160,1,COTJRHAP,451,2122,1,8,0
342,119,COTJRHAP,8,309075,1,COTJRHAP,514,1392,1,8,0
342,120,GRACIOUS,8,312067,0,GRACIOUS,899,2084,1,12,2
342,121,COTJRHAP,8,314037,1,COTJRHAP,751,1208,1,8,0
342,122,COTJRHAP,8,316480,1,COTJRHAP,674,1760,1,8,0
342,123,COTJRHAP,8,319005,1,COTJRHAP,556,1960,1,8,0
342,124,PROSPECT,8,321034,0,PROSPECT,739,1285,1,8,0
342,125,QUESTION,8,323220,0,QUESTION,896,1281,1,8,0
342,126,PRESERVE,8,325216,0,PRESERVE,694,1299,1,8,0
342,127,RESEARCH,8,326665,0,RESEARCH,647,793,1,8,0
342,128,COTJRHAP,8,328920,1,COTJRHAP,445,1806,1,10,1
342,129,SHEPHERD,8,331350,0,SHEPHERD,661,1760,1,12,2
342,130,COTJRHAP,8,333530,1,COTJRHAP,572,1597,1,8,0
342,131,COTJRHAP,8,336095,1,COTJRHAP,679,1878,1,12,2
342,132,PLEASURE,8,338841,0,PLEASURE,839,1896,1,12,2
342,133,PAINTING,8,340390,0,PAINTING,578,966,1,8,0
342,134,EXCHANGE,8,342603,0,EXCHANGE,1199,1005,1,8,0
342,135,COTJRHAP,8,344464,1,COTJRHAP,658,1194,1,8,0
342,136,COTJRHAP,8,346382,1,COTJRHAP,576,1335,1,8,0
342,137,LUNCHEON,8,348632,0,LUNCHEON,719,1521,1,8,0
342,138,PROMPTLY,8,350823,0,PROMPTLY,657,1522,1,8,0
342,139,SCARCELY,8,354840,0,SCARCELY,579,3430,1,16,4
342,140,COTJRHAP,8,357009,1,COTJRHAP,957,1204,1,8,0
342,141,COTJRHAP,8,359151,1,COTJRHAP,717,1415,1,8,0
342,142,RECKLESS,8,361389,0,RECKLESS,1004,1225,1,8,0
342,143,INSTRUCT,8,365066,0,INSTRUCT,811,2856,1,10,1
342,144,COTJRHAP,8,367699,1,COTJRHAP,670,1952,1,10,1
342,145,COTJRHAP,8,369676,1,COTJRHAP,644,1323,1,8,0
342,146,COTJRHAP,8,372309,1,COTJRHP,595,2028,0,11,2
342,147,KINDNESS,8,374579,0,KINDNESS,850,1411,1,8,0
342,148,CAMPAIGN,8,376377,0,CAMPAIGN,662,1127,1,8,0
342,149,FAITHFUL,8,379779,0,FAITHFUL,813,2578,1,12,2
342,150,COTJRHAP,8,382901,1,COTRJHAP,699,2412,0,10,1
342,151,GRACIOUS,8,385873,0,GRACIOUS,827,2142,1,12,2
342,152,COTJRHAP,8,387807,1,COTJRHAP,602,1329,1,8,0
342,153,PEACEFUL,8,390502,0,PEACEFUL,690,1999,1,10,1
342,154,COTJRHAP,8,392610,1,COTJRHAP,772,1325,1,8,0
342,155,JUDGMENT,8,394922,0,JUDGMENT,729,1575,1,8,0
342,156,COTJRHAP,8,396834,1,COTJRHAP,572,1331,1,8,0
342,157,LIKEWISE,8,399002,0,LIKEWISE,738,1419,1,8,0
342,158,COTJRHAP,8,400835,1,COTJRHAP,562,1268,1,8,0
342,159,COTJRHAP,8,402899,1,COTJRHAP,569,1491,1,8,0
342,160,COTJRHAP,8,404916,1,COTJRHAP,611,1404,1,8,0
