0,45
0,60
7,15
7,30
7,45
7,60
7,75
7,165
7,180
7,195
14,15
14,30
14,45
14,60
14,75
14,90
14,180
14,195
21,0
21,15
21,30
21,45
21,60
21,75
21,90
21,180
21,195
28,0
28,15
28,30
28,45
28,60
28,75
28,90
28,180
28,195
28,210
35,0
35,15
35,30
35,45
35,60
35,75
35,90
35,180
35,195
35,210
42,0
42,15
42,30
42,75
42,90
42,105
42,180
42,195
42,210
49,-15
49,0
49,15
49,75
49,90
49,105
49,180
49,195
49,210
56,-15
56,0
56,15
56,75
56,90
56,105
56,180
56,195
56,210
63,-15
63,0
63,15
63,75
63,90
63,105
63,195
63,210
70,-15
70,0
70,75
70,90
70,105
70,195
70,210
77,-15
77,0
77,90
77,105
77,195
77,210
84,-15
84,0
84,90
84,105
84,180
84,195
84,210
91,-15
91,0
91,15
91,90
91,105
91,120
91,180
91,195
91,210
98,-15
98,0
98,15
98,90
98,105
98,120
98,180
98,195
98,210
105,-15
105,0
105,15
105,90
105,105
105,120
105,180
105,195
112,0
112,15
112,90
112,105
112,120
112,135
112,150
112,165
112,180
112,195
119,0
119,15
119,105
119,120
119,135
119,150
119,165
119,180
119,195
126,0
126,15
126,30
126,105
126,120
126,135
126,150
126,165
126,180
126,195
133,0
133,15
133,30
133,105
133,120
133,135
133,150
133,165
133,180
133,195
140,120
140,135
140,150
140,165
140,180
147,135
147,150
147,165
