0,0
0,15
0,30
0,45
0,60
0,75
0,90
0,105
0,120
0,135
0,150
0,165
0,180
0,195
0,210
9,0
9,15
9,30
9,45
9,60
9,75
9,90
9,105
9,120
9,135
9,150
9,165
9,180
9,195
9,210
18,0
18,15
18,30
18,45
18,60
18,75
18,90
18,105
18,120
18,135
18,150
18,165
18,180
18,195
18,210
27,0
27,15
27,30
27,45
27,60
27,75
27,90
27,105
27,120
27,135
27,150
27,165
27,180
27,195
27,210
36,90
36,105
45,90
45,105
54,90
54,105
63,90
63,105
72,90
72,105
81,90
81,105
90,90
90,105
99,90
99,105
108,0
108,15
108,30
108,45
108,60
108,75
108,90
108,105
108,120
108,135
108,150
108,165
108,180
108,195
108,210
117,0
117,15
117,30
117,45
117,60
117,75
117,90
117,105
117,120
117,135
117,150
117,165
117,180
117,195
117,210
126,0
126,15
126,30
126,45
126,60
126,75
126,90
126,105
126,120
126,135
126,150
126,165
126,180
126,195
126,210
135,0
135,15
135,30
135,45
135,60
135,75
135,90
135,105
135,120
135,135
135,150
135,165
135,180
135,195
135,210
