sub,trial,domhand,hand,tap,sumtime,trialtime,rt
11,1,Right,Right,1,26,27,26
11,1,Right,Right,2,197,201,171
11,1,Right,Right,3,359,366,162
11,1,Right,Right,4,531,541,172
11,1,Right,Right,5,695,708,164
11,1,Right,Right,6,861,877,166
11,1,Right,Right,7,1029,1048,168
11,1,Right,Right,8,1196,1218,167
11,1,Right,Right,9,1359,1384,163
11,1,Right,Right,10,1522,1549,163
11,1,Right,Right,11,1686,1716,164
11,1,Right,Right,12,1850,1882,164
11,1,Right,Right,13,2014,2049,164
11,1,Right,Right,14,2182,2219,168
11,1,Right,Right,15,2342,2381,160
11,1,Right,Right,16,2509,2549,167
11,1,Right,Right,17,2683,2725,174
11,1,Right,Right,18,2856,2900,173
11,1,Right,Right,19,3020,3067,164
11,1,Right,Right,20,3189,3238,169
11,1,Right,Right,21,3356,3407,167
11,1,Right,Right,22,3532,3584,176
11,1,Right,Right,23,3693,3748,161
11,1,Right,Right,24,3847,3904,154
11,1,Right,Right,25,4022,4081,175
11,1,Right,Right,26,4194,4255,172
11,1,Right,Right,27,4361,4425,167
11,1,Right,Right,28,4538,4604,177
11,1,Right,Right,29,4710,4778,172
11,1,Right,Right,30,4871,4941,161
11,1,Right,Right,31,4972,5045,101
11,1,Left,Left,1,65,65,65
11,1,Left,Left,2,275,277,210
11,1,Left,Left,3,469,473,194
11,1,Left,Left,4,656,662,187
11,1,Left,Left,5,865,873,209
11,1,Left,Left,6,1050,1068,185
11,1,Left,Left,7,1273,1293,223
11,1,Left,Left,8,1465,1490,192
11,1,Left,Left,9,1664,1691,199
11,1,Left,Left,10,1854,1883,190
11,1,Left,Left,11,2067,2098,213
11,1,Left,Left,12,2248,2281,181
11,1,Left,Left,13,2437,2471,189
11,1,Left,Left,14,2653,2689,216
11,1,Left,Left,15,2841,2879,188
11,1,Left,Left,16,3031,3071,190
11,1,Left,Left,17,3249,3291,218
11,1,Left,Left,18,3443,3487,194
11,1,Left,Left,19,3656,3702,213
11,1,Left,Left,20,3854,3902,198
11,1,Left,Left,21,4046,4096,192
11,1,Left,Left,22,4259,4311,213
11,1,Left,Left,23,4677,4731,418
11,1,Left,Left,24,4980,5035,303
11,2,Left,Left,1,32,32,32
11,2,Left,Left,2,202,204,170
11,2,Left,Left,3,378,382,176
11,2,Left,Left,4,784,792,406
11,2,Left,Left,5,965,975,181
11,2,Left,Left,6,1145,1157,180
11,2,Left,Left,7,1345,1358,200
11,2,Left,Left,8,1546,1561,201
11,2,Left,Left,9,1934,1951,388
11,2,Left,Left,10,2149,2167,215
11,2,Left,Left,11,2340,2360,191
11,2,Left,Left,12,2939,2960,599
11,2,Left,Left,13,3144,3167,205
11,2,Left,Left,14,3344,3368,200
11,2,Left,Left,15,3542,3568,198
11,2,Left,Left,16,3755,3783,213
11,2,Left,Left,17,3952,3982,197
11,2,Left,Left,18,4162,4193,210
11,2,Left,Left,19,4353,4386,191
11,2,Left,Left,20,4545,4580,192
11,2,Left,Left,21,4768,4805,223
11,2,Left,Left,22,4965,5003,197
11,1,Left,Right,1,124,124,124
11,1,Left,Right,2,268,270,144
11,1,Left,Right,3,590,594,322
11,1,Left,Right,4,735,741,145
11,1,Left,Right,5,884,892,149
11,1,Left,Right,6,1357,1366,473
11,1,Left,Right,7,1519,1531,162
11,1,Left,Right,8,1689,1702,170
11,1,Left,Right,9,1819,1834,130
11,1,Left,Right,10,1978,1995,159
11,1,Left,Right,11,2584,2602,606
11,1,Left,Right,12,2881,2901,297
11,1,Left,Right,13,3015,3038,134
11,1,Left,Right,14,3160,3186,145
11,1,Left,Right,15,3462,3491,302
11,1,Left,Right,16,3739,3770,277
11,1,Left,Right,17,3865,3898,126
11,1,Left,Right,18,4002,4036,137
11,1,Left,Right,19,4132,4167,130
11,1,Left,Right,20,4271,4308,139
11,1,Left,Right,21,4418,4456,147
11,1,Left,Right,22,4566,4605,148
11,1,Left,Right,23,4699,4739,133
11,1,Left,Right,24,4857,4898,158
11,1,Left,Right,25,4977,5019,120
11,2,Left,Right,1,93,93,93
11,2,Left,Right,2,239,241,146
11,2,Left,Right,3,376,381,137
11,2,Left,Right,4,520,527,144
11,2,Left,Right,5,659,668,139
11,2,Left,Right,6,790,803,131
11,2,Left,Right,7,924,940,134
11,2,Left,Right,8,1047,1064,123
11,2,Left,Right,9,1184,1203,137
11,2,Left,Right,10,1326,1348,142
11,2,Left,Right,11,1466,1490,140
11,2,Left,Right,12,1609,1634,143
11,2,Left,Right,13,1729,1756,120
11,2,Left,Right,14,1869,1897,140
11,2,Left,Right,15,2003,2032,134
11,2,Left,Right,16,2135,2166,132
11,2,Left,Right,17,2281,2313,146
11,2,Left,Right,18,2426,2460,145
11,2,Left,Right,19,2554,2590,128
11,2,Left,Right,20,2855,2892,301
11,2,Left,Right,21,2992,3030,137
11,2,Left,Right,22,3131,3170,139
11,2,Left,Right,23,3278,3319,147
11,2,Left,Right,24,3410,3456,132
11,2,Left,Right,25,3552,3600,142
11,2,Left,Right,26,3695,3745,143
11,2,Left,Right,27,3837,3889,142
11,2,Left,Right,28,3986,4041,149
11,2,Left,Right,29,4119,4175,133
11,2,Left,Right,30,4251,4308,132
11,2,Left,Right,31,4377,4437,126
11,2,Left,Right,32,4679,4740,302
11,2,Left,Right,33,4826,4889,147
11,2,Left,Right,34,4969,5033,143
