subnum,trial,starttime,number,isodd,resp,corr,rt
thuoae,1,11345,148,0,left,0,930
thuoae,2,12776,675,1,left,1,1328
thuoae,3,14605,202,0,right,1,554
thuoae,4,15660,158,0,left,0,217
