subnum,trial,config,c1,c2,c3,c4,sampleprob,rainprob,prob2,time,rt,resp,outcome,correct
aoeuoau,1,H,1,0,0,0,0.14,0.85,0.85,5572,728,right,0,1
aoeuoau,2,F,0,1,1,0,0.047,0.5,0.5,7301,230,right,0,1
aoeuoau,3,B,0,0,1,0,0.084,0.38,0.38,8533,272,left,1,1
aoeuoau,4,H,1,0,0,0,0.14,0.85,0.85,9806,294,left,1,1
aoeuoau,5,D,0,1,0,0,0.084,0.62,0.62,11101,622,right,1,0
aoeuoau,6,D,0,1,0,0,0.084,0.62,0.62,13224,442,right,0,1
aoeuoau,7,H,1,0,0,0,0.14,0.85,0.85,14666,367,left,1,1
