subid,abstime,trial,edits,deletes,edges,drawtime,standard,drawndiagram
thoaueoaeu,6972,1,1,0,2,3117,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336
thoaueoaeu,44138,2,1,0,2,35514,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90
thoaueoaeu,49069,3,1,0,2,2961,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67
thoaueoaeu,56800,4,1,0,2,5527,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164
thoaueoaeu,62236,5,1,0,2,3565,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77
