subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
otuho,1,P,-1,1,9353,10272,919,919,1,1080,495
otuho,1,P,-1,2,9353,10856,1503,332,5,1110,300
otuho,1,P,-1,3,9353,11297,1944,191,3,1230,390
