subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
11141,0,practice,P,1,1,860,440,P,1,1372|387|1|<pressed>,1,1,7259,1045
11141,0,practice,P,2,4,1060,640,P,1,1385|448|1|<pressed>,1,1,8756,929
11141,0,practice,P,3,2,1060,440,P,1,1385|448|1|<pressed>,1,1,10257,1099
11141,0,practice,P,4,1,860,440,P,1,1427|2|1|<pressed>,1,1,11757,1000
11141,0,practice,P,5,3,860,640,P,1,NONE,0,0,13260,1450
11141,0,practice,P,6,3,860,640,P,1,NONE,0,0,15717,1450
11141,0,practice,P,7,4,1060,640,R,0,NONE,0,1,18177,1451
11141,0,practice,P,8,1,860,440,R,0,967|357|1|<pressed>,1,0,19633,789
11141,0,practice,P,9,4,1060,640,P,1,NONE,0,0,21429,1450
11141,0,practice,P,10,1,860,440,P,1,994|679|1|<pressed>,1,1,23889,885
11141,1,test,P,1,1,860,440,R,0,980|575|1|<pressed>,1,0,33440,949
11141,1,test,P,2,3,860,640,P,1,NONE,0,0,34939,1451
11141,1,test,P,3,3,860,640,R,0,980|575|1|<pressed>,1,0,36439,1157
11141,1,test,P,4,1,860,440,R,0,NONE,0,1,37940,1450
11141,1,test,P,5,4,1060,640,P,1,980|575|1|<pressed>,1,1,39440,484
11141,1,test,P,6,4,1060,640,P,1,980|575|1|<pressed>,1,1,40939,538
11141,1,test,P,7,1,860,440,P,1,980|575|1|<pressed>,1,1,42439,663
11141,1,test,P,8,2,1060,440,P,1,1135|524|1|<pressed>,1,1,43938,371
11141,1,test,P,9,3,860,640,P,1,1126|525|1|<pressed>,1,1,45445,484
11141,1,test,P,10,4,1060,640,P,1,1126|525|1|<pressed>,1,1,46940,397
11141,1,test,P,11,3,860,640,R,0,NONE,0,1,48440,1450
11141,1,test,P,12,3,860,640,P,1,1126|525|1|<pressed>,1,1,49939,681
11141,1,test,P,13,1,860,440,P,1,1126|525|1|<pressed>,1,1,51437,756
11141,1,test,P,14,4,1060,640,P,1,1126|525|1|<pressed>,1,1,52940,575
11141,1,test,P,15,3,860,640,P,1,NONE,0,0,54440,1450
