sub,trial,domhand,hand,tap,sumtime,trialtime,rt
156,1,Left,Left,1,102,102,102
156,1,Left,Left,2,246,250,144
156,1,Left,Left,3,563,570,317
156,1,Left,Left,4,711,721,148
156,1,Left,Left,5,1026,1037,315
156,1,Left,Left,6,1171,1189,145
156,1,Left,Left,7,1337,1357,166
156,1,Left,Left,8,1499,1520,162
156,1,Left,Left,9,1656,1678,157
156,1,Left,Left,10,1818,1842,162
156,1,Left,Left,11,1968,1995,150
156,1,Left,Left,12,2437,2466,469
156,1,Left,Left,13,2600,2630,163
156,1,Left,Left,14,2762,2794,162
156,1,Left,Left,15,2922,2957,160
156,1,Left,Left,16,3233,3270,311
156,1,Left,Left,17,3389,3432,156
156,1,Left,Left,18,3546,3592,157
156,1,Left,Left,19,3715,3763,169
156,1,Left,Left,20,3862,3912,147
156,1,Left,Left,21,4026,4077,164
156,1,Left,Left,22,4186,4238,160
156,1,Left,Left,23,4345,4399,159
156,1,Left,Left,24,4515,4573,170
156,1,Left,Left,25,4829,4889,314
156,1,Left,Left,26,4981,5043,152
156,2,Left,Left,1,174,174,174
156,2,Left,Left,2,342,346,168
156,2,Left,Left,3,507,513,165
156,2,Left,Left,4,665,673,158
156,2,Left,Left,5,832,841,167
156,2,Left,Left,6,1007,1019,175
156,2,Left,Left,7,1170,1185,163
156,2,Left,Left,8,1351,1367,181
156,2,Left,Left,9,1526,1544,175
156,2,Left,Left,10,1699,1718,173
156,2,Left,Left,11,1880,1901,181
156,2,Left,Left,12,2063,2087,183
156,2,Left,Left,13,2244,2271,181
156,2,Left,Left,14,2436,2465,192
156,2,Left,Left,15,2619,2649,183
156,2,Left,Left,16,2810,2841,191
156,2,Left,Left,17,2996,3031,186
156,2,Left,Left,18,3178,3215,182
156,2,Left,Left,19,3358,3398,180
156,2,Left,Left,20,3520,3562,162
156,2,Left,Left,21,3699,3743,179
156,2,Left,Left,22,3872,3919,173
156,2,Left,Left,23,4059,4109,187
156,2,Left,Left,24,4237,4289,178
156,2,Left,Left,25,4424,4478,187
156,2,Left,Left,26,4585,4642,161
156,2,Left,Left,27,4770,4830,185
156,2,Left,Left,28,4955,5017,185
