subnum,trial,type,pos,size,ShowPreview,mousex,mousey,clicks,time
eoauae,1,2,700,10,0,753,303,1,2608
eoauae,2,2,75,10,0,122,301,1,2102
eoauae,3,2,350,40,0,400,306,1,1175
eoauae,4,2,50,20,0,103,299,1,2433
eoauae,5,2,350,10,0,399,288,1,1772
eoauae,6,
