subnum,block,type,trial,type,stim,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
13145,1,PRACTICE,-25,4,2,7375,1,95,0,0,35,0,1
13145,1,PRACTICE,-24,4,4,9993,2,435,1,0,640,1,1
13145,1,PRACTICE,-23,4,3,13248,1,1281,1,9,1298,0,1
13145,1,PRACTICE,-22,4,1,15562,2,1318,0,0,793,0,1
13145,1,PRACTICE,-21,4,2,19416,1,1070,0,0,1144,0,1
13145,1,PRACTICE,-20,4,4,22995,2,919,1,0,919,1,1
13145,1,PRACTICE,-19,4,1,25145,1,999,1,9,999,1,1
13145,1,PRACTICE,-18,4,3,27318,1,2958,1,0,2976,1,1
13145,1,TEST,1,4,3,31271,1,904,1,0,904,1,1
13145,1,TEST,2,4,1,33369,1,719,1,9,719,1,1
13145,1,TEST,3,4,2,35036,2,1503,1,9,1519,1,1
13145,1,TEST,4,4,4,37679,2,1285,1,0,1285,1,1
13145,1,TEST,5,4,3,39905,1,716,1,9,734,0,1
13145,1,TEST,6,4,1,41692,1,747,1,9,772,1,1
13145,1,TEST,7,4,2,43328,2,1019,1,0,1037,0,1
13145,1,TEST,8,4,4,45527,2,1473,1,0,1473,1,1
13145,1,TEST,9,4,2,48186,1,1083,0,9,1329,1,1
13145,1,TEST,10,4,1,51838,1,834,1,9,851,1,1
13145,1,TEST,11,4,4,53847,2,665,1,0,683,1,1
13145,1,TEST,12,4,3,55686,1,2370,1,0,2397,1,1
13145,1,TEST,13,4,2,59141,1,763,0,9,763,1,1
13145,1,TEST,14,4,1,61043,2,568,0,9,568,1,1
13145,1,TEST,15,4,4,62634,2,782,1,0,781,1,1
13145,1,TEST,16,4,3,64346,1,1782,1,0,1781,1,1
13145,1,TEST,17,4,1,67285,1,666,1,9,665,1,1
13145,1,TEST,18,4,4,69043,2,747,1,0,747,1,1
13145,1,TEST,19,4,2,70743,1,594,0,9,593,1,1
13145,1,TEST,20,4,3,72401,1,1698,1,0,1723,1,1
13145,1,TEST,21,4,2,75428,1,737,0,9,717,1,1
13145,1,TEST,22,4,1,77096,1,677,1,9,694,1,1
13145,1,TEST,23,4,3,78646,1,2830,1,0,2830,1,1
13145,1,TEST,24,4,4,82427,2,773,1,0,772,1,1
13145,1,TEST,25,4,2,84342,1,516,0,9,516,1,1
13145,2,PRACTICE,-25,1,3,90888,2,294,0,NA,0,0,1
13145,2,PRACTICE,-24,1,2,92473,1,326,0,NA,0,0,1
13145,2,PRACTICE,-23,1,4,94083,2,334,1,NA,0,0,1
13145,2,PRACTICE,-22,1,1,95308,1,372,1,NA,0,0,1
