subnum,block,time,trial,practice,targdir,oddballcoherence,oddballdir,time0,resp,corr,rt
toahuea,0,17114,1,1,1,-1,0,15082,left,1,1630
toahuea,0,19026,2,1,1,1,1,18082,left,1,543
toahuea,0,22018,3,1,2,-1,1,21082,right,1,535
toahuea,0,25084,4,1,2,-1,1,24082,right,1,600
toahuea,0,28003,5,1,2,1,0,27082,right,1,519
toahuea,0,32983,6,1,1,1,1,30082,<timeout>,0,2500
