subnum,trial,type,pos,size,ShowPreview,mousex,mousey,clicks,time
115,1,2,700,40,0,737,601,1,1
115,2,2,700,10,0,743,597,1,1
115,3,2,50,40,0,113,607,1,1
115,4,2,100,40,0,166,591,1,2
115,5,2,350,10,0,403,603,1,1
115,6,2,500,40,0,547,606,1,2
115,7,2,100,20,0,152,613,1,1
115,8,2,75,20,0,124,599,1,2
115,9,2,700,20,0,758,601,1,2
115,10,2,700,40,0,765,607,1,1
115,11,2,200,10,0,252,605,1,1
115,12,2,200,40,0,256,603,1,1
115,13,
