subnum,responsecond,code,block,trial,stimword,stimcolorid,stimcolorname,cond,responded,response,correct,abstime,rt,randomerror,incong,speechduration,recordtime
tht,keyboard,data/tht/trial--10000-,Practice1,-10000,and,1,red,N,1,1,1,7296,439,0,0,0,439
tht,keyboard,data/tht/trial--9999-,Practice1,-9999,red,1,red,C,1,4,0,9735,2,1,0,0,2
