0,15
0,30
0,45
0,60
0,75
0,165
0,180
0,195
9,15
9,30
9,45
9,60
9,75
9,90
9,180
9,195
18,0
18,15
18,30
18,45
18,60
18,75
18,90
18,180
18,195
27,0
27,15
27,30
27,45
27,60
27,75
27,90
27,180
27,195
27,210
36,0
36,15
36,75
36,90
36,105
36,180
36,195
36,210
45,-15
45,0
45,15
45,75
45,90
45,105
45,180
45,195
45,210
54,-15
54,0
54,15
54,75
54,90
54,105
54,195
54,210
63,-15
63,0
63,90
63,105
63,195
63,210
72,-15
72,0
72,90
72,105
72,195
72,210
81,-15
81,0
81,90
81,105
81,180
81,195
81,210
90,-15
90,0
90,15
90,90
90,105
90,120
90,180
90,195
90,210
99,-15
99,0
99,15
99,90
99,105
99,120
99,165
99,180
99,195
108,0
108,15
108,90
108,105
108,120
108,135
108,150
108,165
108,180
108,195
117,0
117,15
117,30
117,105
117,120
117,135
117,150
117,165
117,180
117,195
126,0
126,15
126,30
126,105
126,120
126,135
126,150
126,165
126,180
126,195
135,120
135,135
135,150
135,165
135,180
144,135
144,150
144,165
