subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
1616,1,P,-1,1,9311,10424,1113,1113,1,1080,495
1616,1,P,-1,2,9311,11551,2240,875,3,1230,390
1616,1,P,-1,3,9311,12113,2802,310,5,1110,300
1616,1,P,-2,1,18480,18988,508,508,2,780,465
1616,1,P,-2,2,18480,19559,1079,320,4,900,360
1616,1,P,-2,3,18480,19998,1518,187,8,915,90
